generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve
1,30,0.2698936462402344,2.159276247024536,3.265838861465454,3.265838861465454,2.86016845703125,1.884840488433838,1.884840488433838,2.7658469676971436,2.7658469676971436,2.365428924560547,0.8013490438461304,0.9999837875366211,5.248063087463379,5.298385143280029,7.623751640319824,7.660553932189941,2.159276247024536,3.265838861465454,0,0.0,0
2,60,0.32827305793762207,2.8842570781707764,3.2867770195007324,3.2867770195007324,3.20133900642395,2.428083896636963,2.428083896636963,2.78678560256958,2.78678560256958,2.7013678550720215,0.95651775598526,0.9999827146530151,5.471034526824951,5.299311637878418,8.391135215759277,7.5702619552612305,2.8842570781707764,3.2867770195007324,0,0.0,0
3,90,0.3936288356781006,3.153505802154541,3.3603832721710205,3.3603832721710205,3.2910850048065186,2.653703451156616,2.653703451156616,2.860395908355713,2.860395908355713,2.79109525680542,0.9996042847633362,0.9999747276306152,5.328379154205322,4.894372463226318,7.971651554107666,7.8285675048828125,3.153505802154541,3.3603832721710205,3,0.1,0
4,120,0.45696353912353516,3.297173261642456,3.376429319381714,3.376429319381714,3.348909378051758,2.7971842288970947,2.7971842288970947,2.876441478729248,2.876441478729248,2.8489208221435547,0.9999784231185913,0.9999755620956421,5.1375274658203125,5.017622947692871,7.712625026702881,7.825873374938965,3.297173261642456,3.376429319381714,14,0.4666666666666667,0
5,150,0.5231983661651611,3.3308465480804443,3.399110794067383,3.399110794067383,3.370903491973877,2.830857515335083,2.830857515335083,2.899123191833496,2.899123191833496,2.8709137439727783,0.9999780654907227,0.9999754428863525,5.069738864898682,4.96945333480835,7.732300281524658,7.829184055328369,3.3308465480804443,3.399110794067383,23,0.7666666666666667,0
6,180,0.5883524417877197,3.366290807723999,3.4534616470336914,3.4534616470336914,3.4031691551208496,2.8663015365600586,2.8663015365600586,2.9534716606140137,2.9534716606140137,2.90317964553833,0.9999790191650391,0.9999798536300659,5.030351638793945,5.073350429534912,7.798553466796875,7.733868598937988,3.366290807723999,3.4534616470336914,29,0.9666666666666667,0
7,210,0.6519663333892822,3.4059064388275146,3.4806315898895264,3.4806315898895264,3.4445786476135254,2.9059178829193115,2.9059178829193115,2.9806458950042725,2.9806458950042725,2.9445900917053223,0.9999774694442749,0.9999712705612183,5.048782825469971,5.150235176086426,7.835912704467773,7.856530666351318,3.4059064388275146,3.4806315898895264,30,1.0,0
8,240,0.717771053314209,3.424560070037842,3.4806315898895264,3.4806315898895264,3.465355634689331,2.924571990966797,2.924571990966797,2.9806458950042725,2.9806458950042725,2.965366840362549,0.9999761581420898,0.9999712705612183,5.051096439361572,5.150235176086426,7.825778007507324,7.856530666351318,3.424560070037842,3.4806315898895264,30,1.0,1
9,270,0.7715373039245605,3.456329822540283,3.4961118698120117,3.4961118698120117,3.4869015216827393,2.9563417434692383,2.9563417434692383,2.9961228370666504,2.9961228370666504,2.986912965774536,0.9999772906303406,0.9999778270721436,5.028196334838867,4.992005348205566,7.854983329772949,7.900228977203369,3.456329822540283,3.4961118698120117,30,1.0,0
10,300,0.8356618881225586,3.4783058166503906,3.536367416381836,3.536367416381836,3.51252818107605,2.9783177375793457,2.9783177375793457,3.036376714706421,3.036376714706421,3.012540340423584,0.9999768137931824,0.9999815225601196,5.016709327697754,4.943542957305908,7.878004550933838,7.842175483703613,3.4783058166503906,3.536367416381836,30,1.0,0
11,330,0.8925929069519043,3.502673864364624,3.5718696117401123,3.5718696117401123,3.532911777496338,3.0026843547821045,3.0026843547821045,3.071881055831909,3.071881055831909,3.0329229831695557,0.9999774694442749,0.9999771118164062,5.0063700675964355,5.0523529052734375,7.8683552742004395,7.968493461608887,3.502673864364624,3.5718696117401123,30,1.0,0
12,360,0.9559640884399414,3.522597312927246,3.5953750610351562,3.5953750610351562,3.5628790855407715,3.0226082801818848,3.0226082801818848,3.095384120941162,3.095384120941162,3.0628907680511475,0.9999770522117615,0.9999821186065674,5.014170169830322,4.9445977210998535,7.88110876083374,7.883668422698975,3.522597312927246,3.5953750610351562,30,1.0,0
