generation,idx,source_type,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,26,ga_mutation_crossover,CCOc1ccc2c(c1)OC(C(=O)O)=C(C(c1ccc(OC)cc1)n1c(=O)c3sc1nc3C)C2,True,3.879823684692383,0.9791038036346436,3.3902719020843506,3.4375102519989014,0.1889529675245285,3.3902719020843506,6.624109745025635,0.42278310656547546,CCOc1ccc2c(c1)OC(C(=O)O)=C(C(c1ccc(OC)cc1)n1c(=O)c3sc1nc3C)C2,True,0.88,pass,,478.52600000000024,99.88000000000001,1,8,9,4.174720000000002,7,5,34,9,0.5588235294117647,0,True,ok,0.9501385688781738,3.2500507831573486,3.329847812652588,0.31918850541114807,3.2500507831573486,7.390531063079834,1.0824302434921265,3.718555450439453,0.0,not_used,,3.658555450439453,False,d_ood_reencoded_high,1
final,3,ga_mutation_crossover,CCOc1ccc2c(c1)OC(C(=O)n1c(=O)c3sc1nc3C)=C(C(=O)c1ccc(OC)cc1)C2,True,3.8109662532806396,0.9402942061424255,3.3408191204071045,3.390101194381714,0.19712843000888824,3.3408191204071045,6.532562255859375,0.3439895808696747,CCOc1ccc2c(c1)OC(C(=O)n1c(=O)c3sc1nc3C)=C(C(=O)c1ccc(OC)cc1)C2,True,0.88,pass,,476.5100000000003,96.72000000000001,0,9,9,4.023820000000002,6,5,34,9,0.5588235294117647,0,True,ok,0.9898281097412109,3.2465782165527344,3.32654070854187,0.31984999775886536,3.2465782165527344,7.753506660461426,1.3948378562927246,3.7100484371185303,0.0,not_used,,3.65004843711853,False,d_ood_reencoded_high,2
final,12,ga_mutation_crossover,CCOc1ccc2c(c1)OC(C(=O)O)=C(C(c1ccc(OC)cc1)n1c(=O)c3sc1nc3C)C2,True,3.924467086791992,0.977455735206604,3.435739278793335,3.492828369140625,0.22835655510425568,3.435739278793335,6.5218400955200195,0.3347611725330353,CCOc1ccc2c(c1)OC(C(=O)O)=C(C(c1ccc(OC)cc1)n1c(=O)c3sc1nc3C)C2,True,0.88,pass,,478.52600000000024,99.88000000000001,1,8,9,4.174720000000002,7,5,34,9,0.5588235294117647,0,True,ok,0.9703181385993958,3.251563310623169,3.334963321685791,0.3336004912853241,3.251563310623169,7.69692325592041,1.346137285232544,3.7091569900512695,0.0,not_used,,3.6491569900512695,False,d_ood_reencoded_high,3
final,17,ga_mutation_crossover,COC(CCNN=Cc1nc2[nH]c(=O)c1s2)OCC(=O)O,True,3.8722920417785645,0.9699998497962952,3.3872921466827393,3.445460557937622,0.23267321288585663,3.3872921466827393,6.4933905601501465,0.3102750778198242,COC(CCNN=Cc1nc2[nH]c(=O)c1s2)OCC(=O)O,True,1.0,pass,,314.3230000000001,125.90000000000002,3,8,11,-0.19029999999999997,9,2,21,10,0.3333333333333333,0,True,ok,0.9250798225402832,3.186290740966797,3.2864933013916016,0.40081024169921875,3.186290740966797,6.204179286956787,0.0613553561270237,3.6488306522369385,0.0,not_used,,3.6488306522369385,True,pass,4
final,22,ga_mutation_crossover,CCOc1ccc2c(c1)OC(C(=O)n1c(=O)c3sc1nc3C)=C(C(=O)c1ccc(OC)cc1)C2,True,3.9171178340911865,0.9734705686569214,3.430382490158081,3.4805073738098145,0.20049946010112762,3.430382490158081,6.6409430503845215,0.43727126717567444,CCOc1ccc2c(c1)OC(C(=O)n1c(=O)c3sc1nc3C)=C(C(=O)c1ccc(OC)cc1)C2,True,0.88,pass,,476.5100000000003,96.72000000000001,0,9,9,4.023820000000002,6,5,34,9,0.5588235294117647,0,True,ok,0.9862268567085266,3.179675579071045,3.2869229316711426,0.4289890229701996,3.179675579071045,7.249986171722412,0.9614654183387756,3.6727890968322754,0.0,not_used,,3.6127890968322753,True,pass,5
final,25,ga_mutation_crossover,CC1=NC(=CC(=O)N(CC(=O)NN)N=C(C(N)=O)c2ccc(OCC(=O)O)cc2)CN1,True,3.9263079166412354,0.97420734167099,3.439204216003418,3.5103793144226074,0.28470075130462646,3.439204216003418,6.602160453796387,0.4038916826248169,CC1=NC(=CC(=O)N(CC(=O)NN)N=C(C(N)=O)c2ccc(OCC(=O)O)cc2)CN1,True,1.0,pass,,431.40900000000016,201.79999999999998,5,9,14,-1.936599999999995,9,2,31,13,0.1935483870967742,0,True,ok,0.9987599849700928,3.0681750774383545,3.11712384223938,0.19579482078552246,3.0681750774383545,7.500199794769287,1.1768203973770142,3.553473472595215,0.0,not_used,,3.553473472595215,False,d_ood_reencoded_high,6
final,1,ga_mutation_crossover,COc1ccc(C(=O)C2=C(C(=O)n3c(=O)c4sc3nc4C)Oc3cc(OC(C)=NN)ccc3C2)cc1,True,3.9592373371124268,0.9785236120223999,3.469975471496582,3.5363399982452393,0.2654581367969513,3.469975471496582,6.580140590667725,0.3849395215511322,COc1ccc(C(=O)C2=C(C(=O)n3c(=O)c4sc3nc4C)Oc3cc(OC(C)=NN)ccc3C2)cc1,True,1.0,pass,,504.5240000000003,135.10000000000002,1,11,12,3.2960200000000013,5,5,36,11,0.5277777777777778,0,True,ok,0.9999059438705444,3.076986074447632,3.135244369506836,0.23303304612636566,3.076986074447632,7.693098545074463,1.3428454399108887,3.549635887145996,0.0,not_used,,3.549635887145996,False,d_ood_reencoded_high,7
final,5,ga_mutation_crossover,COC(=O)C=C(C)N=CN1C(=O)n2[nH]c(=O)c(c2=CC=C(C)C(C)=O)=C1N,True,3.743757486343384,0.6126865744590759,3.5872650146484375,3.6612040996551514,0.295756071805954,3.5,6.081625938415527,0.0,COC(=O)C=C(C)N=CN1C(=O)n2[nH]c(=O)c(c2=CC=C(C)C(C)=O)=C1N,True,1.0,pass,,373.36900000000014,139.85,2,8,10,-1.094599999999998,5,2,27,10,0.18518518518518517,0,True,ok,0.9863411784172058,3.0514369010925293,3.149397850036621,0.3918440341949463,3.0514369010925293,6.000625133514404,0.0,3.544607400894165,0.0,not_used,,3.544607400894165,True,pass,8
final,8,ga_mutation_crossover,CCOc1ccc2c(c1)OC(C(=O)O)=C(C(c1ccc(OC)cc1)n1c(=O)c3sc1nc3C)C2,True,3.8876214027404785,0.9256153106689453,3.424813747406006,3.4769198894500732,0.20842427015304565,3.424813747406006,6.485974311828613,0.30389204621315,CCOc1ccc2c(c1)OC(C(=O)O)=C(C(c1ccc(OC)cc1)n1c(=O)c3sc1nc3C)C2,True,0.88,pass,,478.52600000000024,99.88000000000001,1,8,9,4.174720000000002,7,5,34,9,0.5588235294117647,0,True,ok,0.7090088129043579,3.1863062381744385,3.2686405181884766,0.3293372690677643,3.1863062381744385,7.759186744689941,1.3997265100479126,3.4361844062805176,0.0,not_used,,3.3761844062805175,False,p_sweet_reencoded_low;d_ood_reencoded_high,9
final,4,ga_mutation_crossover,CCOc1ccc2c(c1)OC(C(=O)n1c(=O)c3sc1nc3C)=C(C(=O)c1ccc(OC)cc1)C2,True,3.9693968296051025,0.9051463007926941,3.5168237686157227,3.5671210289001465,0.201189324259758,3.5,6.535439968109131,0.3464663624763489,CCOc1ccc2c(c1)OC(C(=O)n1c(=O)c3sc1nc3C)=C(C(=O)c1ccc(OC)cc1)C2,True,0.88,pass,,476.5100000000003,96.72000000000001,0,9,9,4.023820000000002,6,5,34,9,0.5588235294117647,0,True,ok,0.6490027904510498,3.1926839351654053,3.306420087814331,0.4549441933631897,3.1926839351654053,7.257946014404297,0.9683163166046143,3.3963873386383057,0.0,not_used,,3.3363873386383056,False,p_sweet_reencoded_low,10
