generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success
1,3.414327621459961,0.9999387264251709,2.914358377456665,3.0107970237731934,0.3857542872428894,2.914358377456665,5.214848518371582,0.0,True
2,3.4177470207214355,0.9999793767929077,2.917757272720337,3.001668691635132,0.33564552664756775,2.917757272720337,5.836676597595215,0.0,True
3,3.5979180335998535,0.9999749660491943,3.097930431365967,3.197084903717041,0.39661815762519836,3.097930431365967,5.174220085144043,0.0,True
4,3.5979180335998535,0.9999749660491943,3.097930431365967,3.197084903717041,0.39661815762519836,3.097930431365967,5.174220085144043,0.0,True
5,3.613907814025879,0.9999721050262451,3.113921642303467,3.2228875160217285,0.43586301803588867,3.113921642303467,4.882260322570801,0.0,True
6,3.711254119873047,0.9999722242355347,3.2112679481506348,3.330930233001709,0.4786492586135864,3.2112679481506348,4.9753923416137695,0.0,True
7,3.7252893447875977,0.9999754428863525,3.225301504135132,3.3363163471221924,0.4440590739250183,3.225301504135132,4.941830158233643,0.0,True
8,3.9072344303131104,0.9986404776573181,3.407914161682129,3.5464425086975098,0.5541137456893921,3.407914161682129,5.70567512512207,0.0,True
9,4.03018856048584,0.9999531507492065,3.530211925506592,3.66259503364563,0.5295320749282837,3.5,5.299527168273926,0.0,True
10,4.04571533203125,0.9999462366104126,3.5457422733306885,3.6857686042785645,0.5601051449775696,3.5,5.334235191345215,0.0,True
11,4.071237564086914,0.9999666213989258,3.5712544918060303,3.7027275562286377,0.5258920788764954,3.5,5.460669040679932,0.0,True
12,4.091702938079834,0.9999635219573975,3.5917210578918457,3.714367628097534,0.4905867278575897,3.5,5.47213077545166,0.0,True
