generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,success
1,9.299211502075195,0.9980766773223877,1.8402456045150757,1.8402456045150757,0.24735315144062042,1.8402456045150757,5.902712821960449,0.0,9.299211502075195,0.254045307636261,2.3392839431762695,False
2,9.431245803833008,0.9997571110725403,2.536355972290039,2.536355972290039,0.13969258964061737,2.536355972290039,5.914039134979248,0.0,9.431245803833008,0.7398850321769714,3.0362346172332764,False
3,9.865792274475098,0.9999663829803467,2.0750575065612793,2.0750575065612793,0.23260211944580078,2.0750575065612793,5.312035083770752,0.0,9.865792274475098,0.5059963464736938,2.575040817260742,False
4,9.970781326293945,0.9999580383300781,2.2749099731445312,2.2749099731445312,0.14624010026454926,2.2749099731445312,5.296839237213135,0.0,9.970781326293945,0.6154811382293701,2.7748889923095703,False
5,10.016521453857422,0.9999630451202393,2.242201566696167,2.242201566696167,0.14578492939472198,2.242201566696167,5.311355113983154,0.0,10.016521453857422,0.6009001731872559,2.742183208465576,False
6,10.123574256896973,0.9999370574951172,1.9282848834991455,1.9282848834991455,0.24006907641887665,1.9282848834991455,5.371108055114746,0.0,10.123574256896973,0.5258803367614746,2.428253412246704,False
7,10.230359077453613,0.9999735355377197,2.2553927898406982,2.2553927898406982,0.1740305870771408,2.2553927898406982,5.343552589416504,0.0,10.230359077453613,0.633944034576416,2.7553796768188477,False
8,10.321578025817871,0.9999748468399048,2.2989954948425293,2.2989954948425293,0.18084652721881866,2.2989954948425293,5.355353832244873,0.0,10.321578025817871,0.6142171621322632,2.798982858657837,False
9,10.3395357131958,0.9999754428863525,2.333556652069092,2.333556652069092,0.17163120210170746,2.333556652069092,5.389953136444092,0.0,10.3395357131958,0.6120961308479309,2.8335442543029785,False
10,10.474822044372559,0.9999687671661377,2.3649535179138184,2.3649535179138184,0.14039340615272522,2.3649535179138184,5.431001663208008,0.0,10.474822044372559,0.58370041847229,2.8649377822875977,False
11,10.474822044372559,0.9999687671661377,2.3649535179138184,2.3649535179138184,0.14039340615272522,2.3649535179138184,5.431001663208008,0.0,10.474822044372559,0.58370041847229,2.8649377822875977,False
12,10.608115196228027,0.9999581575393677,2.398965358734131,2.398965358734131,0.1932220458984375,2.398965358734131,5.579220771789551,0.0,10.608115196228027,0.529849112033844,2.89894437789917,False
