generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success
1,3.2644920349121094,0.9863827228546143,2.771300792694092,2.8510611057281494,0.31904134154319763,2.771300792694092,6.186009407043457,0.045716818422079086,True
2,3.3197734355926514,0.9910893440246582,2.8242287635803223,2.8782079219818115,0.21591654419898987,2.8242287635803223,6.940411567687988,0.6950192451477051,True
3,3.507638931274414,0.8601261973381042,3.077575922012329,3.1343846321105957,0.2272348403930664,3.077575922012329,4.41147518157959,0.0,True
4,3.641531467437744,0.9711014032363892,3.1559808254241943,3.1913819313049316,0.14160433411598206,3.1559808254241943,4.623112678527832,0.0,True
5,3.6663239002227783,0.9990437626838684,3.166801929473877,3.227870225906372,0.24427340924739838,3.166801929473877,5.462776184082031,0.0,True
6,3.766913414001465,0.996837854385376,3.2684946060180664,3.3289904594421387,0.24198319017887115,3.2684946060180664,5.483974456787109,0.0,True
7,3.823479652404785,0.9968611001968384,3.3250491619110107,3.3784000873565674,0.2134033739566803,3.3250491619110107,5.511687755584717,0.0,True
8,3.892801523208618,0.9928204417228699,3.3963913917541504,3.4482407569885254,0.2073974460363388,3.3963913917541504,5.4526262283325195,0.0,True
9,3.905775785446167,0.9871515035629272,3.4121999740600586,3.457430362701416,0.1809220165014267,3.4121999740600586,5.4726762771606445,0.0,True
10,3.939772605895996,0.9954597353935242,3.442042827606201,3.508110761642456,0.2642712891101837,3.442042827606201,5.639435291290283,0.0,True
11,3.9798598289489746,0.9807944893836975,3.4894626140594482,3.541516065597534,0.20821359753608704,3.4894626140594482,5.583237648010254,0.0,True
12,4.049658298492432,0.9846077561378479,3.557354211807251,3.6112427711486816,0.21555452048778534,3.5,5.579202175140381,0.0,True
