method,fitness_mode,unique_reliable_count_mean,unique_reliable_count_std,validity_mean,validity_std,unique_smiles_ratio_mean,unique_smiles_ratio_std,internal_diversity_mean,internal_diversity_std,mean_p_sweet_reliable_mean,mean_p_sweet_reliable_std,mean_logsw_reliable_mean,mean_logsw_reliable_std,mean_ood_reliable_mean,mean_ood_reliable_std,mean_docking_reliable_mean,mean_docking_reliable_std,runtime_sec_mean,runtime_sec_std
Docking predictor only,docking_surrogate,0.0,0.0,1.0,0.0,0.9,0.06236095644623235,0.7587144414421574,0.05728733798083119,,,,,,,,,117.91913433074951,25.60184678687208
Gate + docking predictor,gated_docking,0.4,0.894427190999916,1.0,0.0,0.8200000000000001,0.14452988925785865,0.7147428237138957,0.07866474760630744,0.9611037373542786,,2.840457320213318,,6.567349910736084,,9.032587051391602,,101.27117819786072,2.968398068942858
Gate + sweet predictor,gated,1.0,1.4142135623730951,1.0,0.0,0.18666666666666668,0.12605113600792692,0.24935744793816667,0.20494716982483333,0.9999303420384724,3.49537863650217e-05,2.8793205897013348,0.017850550282675532,5.593319765726726,0.15801826817955708,8.015874036153157,0.3556526857805426,70.40060443878174,11.68705799058932
Sweet predictor only,direct_regressor,0.8,0.8366600265340756,1.0,0.0,0.30666666666666664,0.21908902300206642,0.36164024649411547,0.20940692252889995,0.9999416801664563,3.935811302008306e-05,3.0342038737403025,0.2136941849504358,5.753059069315593,0.3778525039147616,8.369905206892225,0.6887370580583678,74.39375038146973,16.4432177185398
