generation,rank,idx,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success
1,0,23,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NCC1C(C)(C)C,True,3.414327621459961,0.9999387264251709,2.914358377456665,3.0107970237731934,0.3857542872428894,2.914358377456665,5.214848518371582,0.0,True
1,1,29,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.268479585647583,0.9999837875366211,2.7684876918792725,2.8473732471466064,0.31554198265075684,2.7684876918792725,5.778102397918701,0.0,True
1,2,22,OCC1OC2(OCCCl)OC34COC(CO)C(O)C3OC2(CC1O)O4,True,3.1704764366149902,0.9995415210723877,2.670705795288086,2.7199482917785645,0.19696994125843048,2.670705795288086,6.84811544418335,0.6155813932418823,True
1,3,7,OCC1OC2(OC3CCOC(C(Cl)(Cl)Cl)C3O2)C(O)CC1O,True,3.0753602981567383,0.9998216032981873,2.5754494667053223,2.6165411472320557,0.16436687111854553,2.5754494667053223,6.4614152908325195,0.28275445103645325,False
1,4,0,COC(=O)C1(Cc2ccccc2)C2c3cc(OC)ccc3OC2C2NC(CC(=O)O)C(=O)N21,True,2.8431053161621094,0.9910666346549988,2.347572088241577,2.4376118183135986,0.3601592779159546,2.347572088241577,5.917479515075684,0.0,False
1,5,28,COc1cc2cc3c1C14OC5OC(C)C(C5O1)C4(O2)O3,True,2.642862319946289,0.7992234826087952,2.2438719272613525,2.300161361694336,0.22515764832496643,2.2438719272613525,6.295114994049072,0.13962233066558838,False
1,6,20,COC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)CC(=O)O,True,2.581390142440796,0.999930739402771,2.0814247131347656,2.1177496910095215,0.14529994130134583,2.0814247131347656,4.349869728088379,0.0,False
1,7,17,O=C1c2ccc3c(c2)C1(c1ccccc1)C12OC4(OCCC1(O)C4O)OC2O3,True,2.577462911605835,0.9089022874832153,2.123011827468872,2.1752634048461914,0.20900659263134003,2.123011827468872,6.1415114402771,0.007418096996843815,False
2,0,4,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,True,3.4961187839508057,0.9999173879623413,2.9961600303649902,3.085880756378174,0.3588832914829254,2.9961600303649902,4.102024555206299,0.0,True
2,1,25,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NCC1C(C)(C)C,True,3.460789203643799,0.9999567270278931,2.960810899734497,3.0700137615203857,0.4368112087249756,2.960810899734497,5.15237283706665,0.0,True
2,2,0,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,True,3.414327621459961,0.9999387264251709,2.914358377456665,3.0107970237731934,0.3857542872428894,2.914358377456665,5.214848518371582,0.0,True
2,3,9,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NCC1C(C)(C)C,True,3.3848090171813965,0.9999192953109741,2.8848493099212646,2.9919042587280273,0.42821967601776123,2.8848493099212646,5.204970359802246,0.0,True
2,4,3,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,True,3.322615623474121,0.9998769760131836,2.8226771354675293,2.891463041305542,0.27514365315437317,2.8226771354675293,3.692546844482422,0.0,True
2,5,20,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.316627264022827,0.9999818801879883,2.816636323928833,2.886270761489868,0.27853745222091675,2.816636323928833,5.771801948547363,0.0,True
2,6,1,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.268479585647583,0.9999837875366211,2.7684876918792725,2.8473732471466064,0.31554198265075684,2.7684876918792725,5.778102397918701,0.0,True
2,7,14,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.2422752380371094,0.9999834299087524,2.742283582687378,2.8181850910186768,0.30360597372055054,2.742283582687378,5.7747111320495605,0.0,True
3,0,8,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.5607829093933105,0.9999796152114868,3.060793161392212,3.1450157165527344,0.336890310049057,3.060793161392212,4.798110008239746,0.0,True
3,1,7,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.5554697513580322,0.9999788999557495,3.0554802417755127,3.1463112831115723,0.3633240759372711,3.0554802417755127,4.882152557373047,0.0,True
3,2,18,COC(=O)C(Cc1ccccc1)N(CCC(C)(C)C)C(=O)CCC(=O)O,True,3.534329414367676,0.9999769926071167,3.0343408584594727,3.1330950260162354,0.39501693844795227,3.0343408584594727,5.063172817230225,0.0,True
3,3,3,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,True,3.520557403564453,0.9999339580535889,3.0205905437469482,3.119154214859009,0.3942544162273407,3.0205905437469482,4.840080261230469,0.0,True
3,4,0,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,True,3.4961187839508057,0.9999173879623413,2.9961600303649902,3.085880756378174,0.3588832914829254,2.9961600303649902,4.102024555206299,0.0,True
3,5,17,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.4678192138671875,0.9999797344207764,2.967829465866089,3.055548667907715,0.3508763611316681,2.967829465866089,5.234955310821533,0.0,True
3,6,1,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NCC1C(C)(C)C,True,3.460789203643799,0.9999567270278931,2.960810899734497,3.0700137615203857,0.4368112087249756,2.960810899734497,5.15237283706665,0.0,True
3,7,16,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,True,3.458803653717041,0.9999538660049438,2.958826780319214,3.067042589187622,0.43286317586898804,2.958826780319214,5.1183319091796875,0.0,True
4,0,17,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.6172821521759033,0.9999798536300659,3.1172921657562256,3.193486452102661,0.3047773540019989,3.1172921657562256,4.881139278411865,0.0,True
4,1,12,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,True,3.6064679622650146,0.9999650716781616,3.106485366821289,3.215789318084717,0.4372158348560333,3.106485366821289,4.707999229431152,0.0,True
4,2,11,COC(=O)C(Cc1ccccc1)N(C(=O)C(N)CC(=O)O)C(C)C(C)(C)C,True,3.5990023612976074,0.9999754428863525,3.0990147590637207,3.199558973312378,0.4021766185760498,3.0990147590637207,4.763016700744629,0.0,True
4,3,19,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)CC(=O)O,True,3.5655736923217773,0.9999783039093018,3.065584659576416,3.159604787826538,0.37608057260513306,3.065584659576416,4.882209777832031,0.0,True
4,4,3,CC=C1NC(=O)N(C)C(N(C)C(=O)OC(C)(C)C)C1=O,True,3.563977003097534,0.9250649213790894,3.1014444828033447,3.214825391769409,0.4535236954689026,3.1014444828033447,6.230605125427246,0.0840996727347374,True
4,5,0,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.5607829093933105,0.9999796152114868,3.060793161392212,3.1450157165527344,0.336890310049057,3.060793161392212,4.798110008239746,0.0,True
4,6,1,COC(=O)C(Cc1ccccc1)N(C(=O)CCC(=O)O)C(C)CO,True,3.5554697513580322,0.9999788999557495,3.0554802417755127,3.1463112831115723,0.3633240759372711,3.0554802417755127,4.882152557373047,0.0,True
4,7,23,COC(=O)C1(Cc2ccccc2)N(C(=O)CCC(=O)O)CCC1(C)O,True,3.5470404624938965,0.999976396560669,3.0470521450042725,3.126422166824341,0.3174803853034973,3.0470521450042725,4.809505939483643,0.0,True
5,0,8,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.6431806087493896,0.9999779462814331,3.1431915760040283,3.231687545776367,0.3539838194847107,3.1431915760040283,4.822205543518066,0.0,True
5,1,29,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.6397576332092285,0.9999804496765137,3.1397674083709717,3.2160162925720215,0.30499544739723206,3.1397674083709717,4.892395973205566,0.0,True
5,2,16,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,True,3.6360995769500732,0.9999728202819824,3.136113166809082,3.2517714500427246,0.4626336097717285,3.136113166809082,4.768956184387207,0.0,True
5,3,4,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)CC(=O)O,True,3.6293723583221436,0.999976634979248,3.1293840408325195,3.229051113128662,0.39866793155670166,3.1293840408325195,4.8155364990234375,0.0,True
5,4,19,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)CC(=O)O,True,3.621166944503784,0.9999828338623047,3.121175527572632,3.20894193649292,0.35106542706489563,3.121175527572632,4.881363868713379,0.0,True
5,5,21,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)Cc1ccccc1,True,3.6211013793945312,0.9999786615371704,3.121112108230591,3.1953437328338623,0.2969260513782501,3.121112108230591,5.039327144622803,0.0,True
5,6,20,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)Oc1ncccc1CN,True,3.6201722621917725,0.9999709129333496,3.1201868057250977,3.2227272987365723,0.4101620018482208,3.1201868057250977,4.802707195281982,0.0,True
5,7,0,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.6172821521759033,0.9999798536300659,3.1172921657562256,3.193486452102661,0.3047773540019989,3.1172921657562256,4.881139278411865,0.0,True
6,0,13,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.6708858013153076,0.9999771118164062,3.1708972454071045,3.265019178390503,0.37648800015449524,3.1708972454071045,4.847071170806885,0.0,True
6,1,17,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)CC(=O)O,True,3.6526904106140137,0.9999806880950928,3.1526999473571777,3.2470145225524902,0.37725821137428284,3.1526999473571777,4.900263786315918,0.0,True
6,2,6,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.651740074157715,0.9999752044677734,3.151752471923828,3.241659164428711,0.35962656140327454,3.151752471923828,4.878647804260254,0.0,True
6,3,0,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1CC(C)(C)CN,True,3.6431806087493896,0.9999779462814331,3.1431915760040283,3.231687545776367,0.3539838194847107,3.1431915760040283,4.822205543518066,0.0,True
6,4,1,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.6397576332092285,0.9999804496765137,3.1397674083709717,3.2160162925720215,0.30499544739723206,3.1397674083709717,4.892395973205566,0.0,True
6,5,2,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NCC1C(C)(C)C,True,3.6360995769500732,0.9999728202819824,3.136113166809082,3.2517714500427246,0.4626336097717285,3.136113166809082,4.768956184387207,0.0,True
6,6,16,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.6288442611694336,0.9999793767929077,3.128854513168335,3.2058823108673096,0.3081114590167999,3.128854513168335,4.896768093109131,0.0,True
6,7,9,COC(=O)C(Cc1ccc(O)cc1)NC(=O)CCC(=O)O,True,3.620596170425415,0.9999771118164062,3.120607614517212,3.215501070022583,0.3795735538005829,3.120607614517212,4.856471538543701,0.0,True
7,0,23,CCCCN1C(=O)N2CC13CC21CC3CN(CC)C1=O,True,3.8726441860198975,0.9667733311653137,3.3892574310302734,3.491987705230713,0.4109208285808563,3.3892574310302734,5.862900733947754,0.0,True
7,1,24,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.6996846199035645,0.9999771118164062,3.1996960639953613,3.287369966506958,0.3506956994533539,3.1996960639953613,5.046769142150879,0.0,True
7,2,3,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)CC(=O)O,True,3.67387056350708,0.9999778270721436,3.173881769180298,3.254660129547119,0.32311323285102844,3.173881769180298,4.967459678649902,0.0,True
7,3,15,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,True,3.6715779304504395,0.9999728202819824,3.1715915203094482,3.287795305252075,0.46481484174728394,3.1715915203094482,4.69209623336792,0.0,True
7,4,0,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.6708858013153076,0.9999771118164062,3.1708972454071045,3.265019178390503,0.37648800015449524,3.1708972454071045,4.847071170806885,0.0,True
7,5,16,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.6698110103607178,0.9999760389328003,3.169822931289673,3.259455442428589,0.3585304021835327,3.169822931289673,4.778292655944824,0.0,True
7,6,27,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)CC(=O)O,True,3.665590524673462,0.9999767541885376,3.165602207183838,3.2635140419006348,0.3916473388671875,3.165602207183838,4.954542636871338,0.0,True
7,7,12,COC(=O)C(Cc1ccccc1)N(CCC(C)C)C(=O)CCC(=O)O,True,3.662600517272949,0.9999815225601196,3.162609815597534,3.245185375213623,0.3303022086620331,3.162609815597534,4.804625034332275,0.0,True
8,0,18,CSCNC(=O)NC(C)c1ccc(F)c(-n2cccn2)c1,True,3.8978774547576904,0.9159770011901855,3.4398889541625977,3.5524089336395264,0.45007967948913574,3.4398889541625977,5.875648498535156,0.0,True
8,1,0,CCNC(=O)N1C(=O)c2c3c4c5cc2n4C(=O)C3(n2cccn2)C51,True,3.8726441860198975,0.9667733311653137,3.3892574310302734,3.491987705230713,0.4109208285808563,3.3892574310302734,5.862900733947754,0.0,True
