generation,idx,source_type,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,docking_score_reencoded,docking_score_std_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,24,ga_mutation_crossover,OCC1OC2OC3(OC(C1O)C2O)C(O)C(O)C(CO)OC3(O)O,True,10.881187438964844,0.9999703168869019,2.3925182819366455,2.3925182819366455,0.2169499695301056,2.3925182819366455,5.764527320861816,0.0,10.381202697753906,0.5148759484291077,2.892503499984741,OCC1OC2OC3(OC(C1O)C2O)C(O)C(O)C(CO)OC3(O)O,True,0.88,pass,,356.28000000000014,198.75999999999996,8,12,20,-5.711599999999993,2,3,24,12,0.0,0,True,ok,0.9999661445617676,-0.19907405972480774,-0.19907405972480774,0.20885011553764343,-0.19907405972480774,5.553887844085693,0.0,8.727365493774414,0.3585389256477356,9.227348327636719,0.0,not_used,,9.167348327636718,False,pred_logsw_reencoded_low,20
final,19,ga_mutation_crossover,CCC(CC)OC(C)COc1cc(O)c(O)cc1OC1OC(CO)C(O)C(O)C1O,True,10.892213821411133,0.9999618530273438,2.3648486137390137,2.3648486137390137,0.2782604992389679,2.3648486137390137,5.761167526245117,0.0,10.392232894897461,0.4347543716430664,2.8648295402526855,CCC(CC)OC(C)COc1cc(O)c(O)cc1OC1OC(CO)C(O)C(O)C1O,True,1.0,pass,,432.4660000000001,158.3,6,10,16,0.24899999999999928,10,2,30,10,0.2,0,True,ok,0.9731355905532837,1.4467036724090576,1.4467036724090576,0.3836008906364441,1.4467036724090576,5.22858190536499,0.0,8.63401985168457,0.4661455452442169,9.120587348937988,0.0,not_used,,9.120587348937988,False,pred_logsw_reencoded_low,21
final,6,ga_mutation_crossover,CCC(CC)OC(C)COc1cc(O)c(O)cc1OC1OC(CO)C(O)C(O)C1O,True,10.918490409851074,0.9999557733535767,2.3089513778686523,2.3089513778686523,0.2537413239479065,2.3089513778686523,5.6531572341918945,0.0,10.418512344360352,0.49603772163391113,2.808929204940796,CCC(CC)OC(C)COc1cc(O)c(O)cc1OC1OC(CO)C(O)C(O)C1O,True,1.0,pass,,432.4660000000001,158.3,6,10,16,0.24899999999999928,10,2,30,10,0.2,0,True,ok,0.9988172054290771,1.3618957996368408,1.3618957996368408,0.22166235744953156,1.3618957996368408,6.044803142547607,0.0,8.618600845336914,0.49254310131073,9.118009567260742,0.0,not_used,,9.118009567260742,False,pred_logsw_reencoded_low,22
final,8,ga_mutation_crossover,CCC(CC)OC(C)COc1cc(O)c(O)cc1OC1OC(CO)C(O)C(O)C1O,True,10.621273040771484,0.9999505281448364,2.4251151084899902,2.4251151084899902,0.31721043586730957,2.4251151084899902,5.82012414932251,0.0,10.121297836303711,0.45092472434043884,2.9250903129577637,CCC(CC)OC(C)COc1cc(O)c(O)cc1OC1OC(CO)C(O)C(O)C1O,True,1.0,pass,,432.4660000000001,158.3,6,10,16,0.24899999999999928,10,2,30,10,0.2,0,True,ok,0.98970627784729,1.3310837745666504,1.3310837745666504,0.1470889449119568,1.3310837745666504,6.4909820556640625,0.371245414018631,8.586812019348145,0.44267702102661133,9.0816650390625,0.0,not_used,,9.0816650390625,False,pred_logsw_reencoded_low,23
final,17,ga_mutation_crossover,CCOC1=C(C(OC2OC(CO)C(O)C(O)C2O)c2ccc(O)c(O)c2)C(=O)CCC1=O,True,10.900139808654785,0.9947540760040283,2.1399664878845215,2.1399664878845215,0.2998168468475342,2.1399664878845215,5.301125526428223,0.0,10.402762413024902,0.36544251441955566,2.637343406677246,CCOC1=C(C(OC2OC(CO)C(O)C(O)C2O)c2ccc(O)c(O)c2)C(=O)CCC1=O,True,1.0,pass,,454.4280000000003,183.20999999999998,6,11,17,-0.8220000000000012,7,3,32,11,0.1875,0,True,ok,0.028629736974835396,2.1969783306121826,2.1969783306121826,0.09212396293878555,2.1969783306121826,5.6961350440979,0.0,9.733037948608398,0.18880964815616608,9.050256729125977,0.0,not_used,,9.050256729125977,False,p_sweet_reencoded_low;pred_logsw_reencoded_low,24
final,16,ga_mutation_crossover,CCOC1C(O)C(CO)OC(NC(=N)SC)(OCC2OC(O)C(O)C(O)C2O)C1(O)O,True,10.8602876663208,0.9999487400054932,2.410179376602173,2.410179376602173,0.22997719049453735,2.410179376602173,5.741937160491943,0.0,10.360313415527344,0.5185167789459229,2.910153865814209,CCOC1C(O)C(CO)OC(NC(=N)SC)(OCC2OC(O)C(O)C(O)C2O)C1(O)O,True,0.7000000000000001,pass,,474.4850000000002,234.63999999999996,10,14,24,-4.8179299999999925,7,2,31,15,0.0,0,True,ok,0.9997428059577942,1.9722102880477905,1.9722102880477905,0.30375370383262634,1.9722102880477905,7.860411643981934,1.5435203313827515,8.7179594039917,0.42498141527175903,9.173893928527832,0.0,not_used,,9.023893928527832,False,pred_logsw_reencoded_low;d_ood_reencoded_high,25
final,0,ga_mutation_crossover,NCC(OC1OC(CO)C(O)C(O)C1O)C(O)(O)n1cc(Cl)cn1,True,10.93492317199707,0.9999538660049438,2.4187633991241455,2.4187633991241455,0.2545658349990845,2.4187633991241455,5.6822099685668945,0.0,10.434946060180664,0.4792552888393402,2.9187402725219727,NCC(OC1OC(CO)C(O)C(O)C1O)C(O)(O)n1cc(Cl)cn1,True,0.88,pass,,369.7580000000001,183.68,7,11,18,-3.7247999999999983,6,2,24,12,0.20833333333333334,1,True,ok,0.9905869364738464,1.7280902862548828,1.7280902862548828,0.1574551910161972,1.7280902862548828,6.089555263519287,0.027611443772912025,8.384138107299805,0.5793925523757935,8.87943172454834,0.0,not_used,,8.81943172454834,False,pred_logsw_reencoded_low,26
final,7,ga_mutation_crossover,C=C(OC1OC(CO)C(O)C(O)C1O)C(=CC)OC,True,10.8250150680542,0.9999409914016724,2.3025174140930176,2.3025174140930176,0.2190125286579132,2.3025174140930176,5.7637529373168945,0.0,10.325044631958008,0.5351871252059937,2.802487850189209,C=C(OC1OC(CO)C(O)C(O)C1O)C(=CC)OC,True,1.0,pass,,276.285,108.61000000000001,4,7,11,-1.1332000000000009,5,1,19,7,0.0,0,True,ok,0.9948933124542236,0.7187827825546265,0.7187827825546265,0.3151685893535614,0.7187827825546265,4.669654846191406,0.0,8.128179550170898,0.3919017016887665,8.625626564025879,0.0,not_used,,8.625626564025879,False,pred_logsw_reencoded_low,27
final,9,ga_mutation_crossover,CC(O)COc1c(Cl)cc(C(=O)O)cc1OC1OC(CO)C(O)C(O)C1O,True,10.847845077514648,0.9999722242355347,2.391807794570923,2.391807794570923,0.21925096213817596,2.391807794570923,5.746862411499023,0.0,10.347859382629395,0.5116321444511414,2.891793966293335,CC(O)COc1c(Cl)cc(C(=O)O)cc1OC1OC(CO)C(O)C(O)C1O,True,1.0,pass,,408.7870000000001,166.14000000000001,6,9,15,-1.0235000000000005,7,2,27,11,0.2222222222222222,1,True,ok,0.08829258382320404,1.011155366897583,1.011155366897583,0.2997269034385681,1.011155366897583,6.956225395202637,0.7695083618164062,9.167983055114746,0.2398117184638977,8.562763214111328,0.0,not_used,,8.562763214111328,False,p_sweet_reencoded_low;pred_logsw_reencoded_low,28
final,3,ga_mutation_crossover,C=C(OC1OC(CO)C(O)C(O)C1O)C(=CC)OC,True,10.916305541992188,0.9999634027481079,2.243194103240967,2.243194103240967,0.24379833042621613,2.243194103240967,5.658918857574463,0.0,10.4163236618042,0.5260331034660339,2.743175745010376,C=C(OC1OC(CO)C(O)C(O)C1O)C(=CC)OC,True,1.0,pass,,276.285,108.61000000000001,4,7,11,-1.1332000000000009,5,1,19,7,0.0,0,True,ok,0.987464427947998,0.840299129486084,0.840299129486084,0.32492345571517944,0.840299129486084,5.591507911682129,0.0,7.855539798736572,0.41873881220817566,8.349271774291992,0.0,not_used,,8.349271774291992,False,pred_logsw_reencoded_low,29
final,25,ga_mutation_crossover,CSC(=N)NCC(O)OC1OC(CO)C(O)C(O)C1O,True,10.946099281311035,0.9999299049377441,2.2704029083251953,2.2704029083251953,0.2245519459247589,2.2704029083251953,5.782646656036377,0.0,10.446134567260742,0.4950329065322876,2.7703678607940674,CSC(=N)NCC(O)OC1OC(CO)C(O)C(O)C1O,True,1.0,pass,,312.344,155.49,7,9,16,-2.991329999999999,5,1,20,10,0.0,0,True,ok,0.9999029636383057,0.36084169149398804,0.36084169149398804,0.23976822197437286,0.36084169149398804,5.823779106140137,0.0,6.549749851226807,0.36332160234451294,7.04970121383667,0.0,not_used,,7.04970121383667,False,pred_logsw_reencoded_low,30
