generation,idx,source_type,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,docking_score_reencoded,docking_score_std_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,1,ga_mutation_crossover,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1CSC,True,3.188858985900879,0.9999638795852661,3.188858985900879,3.188858985900879,0.21341070532798767,3.188858985900879,4.931014537811279,0.0,7.777862548828125,0.2838636338710785,3.688840866088867,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1CSC,True,1.0,pass,,352.4120000000001,95.94,2,6,8,0.6939999999999995,7,2,24,8,0.25,0,True,ok,0.9999836683273315,3.274869441986084,3.274869441986084,0.21919140219688416,3.274869441986084,5.4015021324157715,0.0,7.7381911277771,0.2662923336029053,3.274869441986084,0.0,not_used,,3.274869441986084,True,pass,1
final,25,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCC(C)(C)C,True,3.1667263507843018,0.9999650716781616,3.1667263507843018,3.1667263507843018,0.1912936568260193,3.1667263507843018,4.89243221282959,0.0,7.8285017013549805,0.27561137080192566,3.6667089462280273,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCC(C)(C)C,True,1.0,pass,,364.4420000000001,104.73,3,5,8,1.3658999999999994,9,1,26,7,0.23076923076923078,0,True,ok,0.9999837875366211,2.7658472061157227,2.7658472061157227,0.2119264155626297,2.7658472061157227,5.298385143280029,0.0,7.660552978515625,0.4094190299510956,2.7658472061157227,0.0,not_used,,2.7658472061157227,False,pred_logsw_reencoded_low,2
final,2,ga_mutation_crossover,CCCCC(C=O)N(C(=O)CCC(=O)O)C(Cc1ccccc1)C(=O)OC,True,3.1617188453674316,0.9999756813049316,3.1617188453674316,3.1617188453674316,0.2385479211807251,3.1617188453674316,4.8370137214660645,0.0,8.012779235839844,0.3255418539047241,3.6617066860198975,CCCCC(C=O)N(C(=O)CCC(=O)O)C(Cc1ccccc1)C(=O)OC,True,1.0,pass,,377.43700000000007,100.98,1,5,6,2.2218,12,1,27,7,0.2222222222222222,0,True,ok,0.9999854564666748,2.6777424812316895,2.6777424812316895,0.276959627866745,2.6777424812316895,4.98335075378418,0.0,8.009182929992676,0.41925248503685,2.6777424812316895,0.0,not_used,,2.6777424812316895,False,pred_logsw_reencoded_low,3
final,12,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCC(C)(C)C,True,3.1408286094665527,0.9999665021896362,3.1408286094665527,3.1408286094665527,0.19682542979717255,3.1408286094665527,4.921927452087402,0.0,7.835536003112793,0.30711638927459717,3.6408119201660156,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCC(C)(C)C,True,1.0,pass,,364.4420000000001,104.73,3,5,8,1.3658999999999994,9,1,26,7,0.23076923076923078,0,True,ok,0.9999885559082031,2.651440382003784,2.651440382003784,0.302544504404068,2.651440382003784,5.997988224029541,0.0,7.53948974609375,0.2979716658592224,2.651440382003784,0.0,not_used,,2.651440382003784,False,pred_logsw_reencoded_low,4
final,23,ga_mutation_crossover,CCCCC(C=O)N(C(=O)CCC(=O)O)C(Cc1ccccc1)C(=O)OC,True,3.1465611457824707,0.9999788999557495,3.1465611457824707,3.1465611457824707,0.24910783767700195,3.1465611457824707,4.887526512145996,0.0,7.968062400817871,0.3062220513820648,3.6465506553649902,CCCCC(C=O)N(C(=O)CCC(=O)O)C(Cc1ccccc1)C(=O)OC,True,1.0,pass,,377.43700000000007,100.98,1,5,6,2.2218,12,1,27,7,0.2222222222222222,0,True,ok,0.9999727010726929,2.5387728214263916,2.5387728214263916,0.2906206548213959,2.5387728214263916,6.126818656921387,0.05951008200645447,7.944468021392822,0.3503740727901459,2.5387728214263916,0.0,not_used,,2.5387728214263916,False,pred_logsw_reencoded_low,5
final,26,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCC(C)(C)C,True,3.1967995166778564,0.9999710321426392,3.1967995166778564,3.1967995166778564,0.23147356510162354,3.1967995166778564,5.1864728927612305,0.0,7.553427696228027,0.29378554224967957,3.6967849731445312,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCC(C)(C)C,True,1.0,pass,,364.4420000000001,104.73,3,5,8,1.3658999999999994,9,1,26,7,0.23076923076923078,0,True,ok,0.9999839067459106,2.4789986610412598,2.4789986610412598,0.3701942563056946,2.4789986610412598,5.228187084197998,0.0,7.620204925537109,0.1957966387271881,2.4789986610412598,0.0,not_used,,2.4789986610412598,False,pred_logsw_reencoded_low,6
final,27,ga_mutation_crossover,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N(CSC)C1C,True,3.150280237197876,0.999976396560669,3.150280237197876,3.150280237197876,0.24102985858917236,3.150280237197876,4.915984153747559,0.0,8.104227066040039,0.34597358107566833,3.6502685546875,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N(CSC)C1C,True,1.0,pass,,380.4660000000001,95.94,2,6,8,1.1249999999999996,7,2,26,8,0.23076923076923078,0,True,ok,0.9998538494110107,2.467985153198242,2.467985153198242,0.15100345015525818,2.467985153198242,6.449545860290527,0.3357747495174408,7.701578617095947,0.3112642765045166,2.467985153198242,0.0,not_used,,2.467985153198242,False,pred_logsw_reencoded_low,7
final,9,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.1216843128204346,0.9999723434448242,3.1216843128204346,3.1216843128204346,0.23223663866519928,3.1216843128204346,5.060986518859863,0.0,7.643454074859619,0.31491023302078247,3.6216704845428467,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.39153584837913513,2.446763515472412,4.358776092529297,0.0,7.599270820617676,0.5892084240913391,2.446763515472412,0.0,not_used,,2.446763515472412,False,pred_logsw_reencoded_low,8
final,18,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.1586785316467285,0.9999635219573975,3.1586785316467285,3.1586785316467285,0.22263282537460327,3.1586785316467285,4.908617973327637,0.0,7.772583961486816,0.29384732246398926,3.658660411834717,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.39153578877449036,2.446763515472412,4.358775615692139,0.0,7.599270820617676,0.5892084240913391,2.446763515472412,0.0,not_used,,2.446763515472412,False,pred_logsw_reencoded_low,9
final,21,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.1232757568359375,0.9999649524688721,3.1232757568359375,3.1232757568359375,0.2109154611825943,3.1232757568359375,4.955474376678467,0.0,7.7195024490356445,0.25622913241386414,3.623258113861084,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.3915358781814575,2.446763515472412,4.358776092529297,0.0,7.599270820617676,0.5892086029052734,2.446763515472412,0.0,not_used,,2.446763515472412,False,pred_logsw_reencoded_low,10
