generation,idx,source_type,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,28,ga_mutation_crossover,CCC1CC2(C=O)N3CSC2(C(C)C3=O)C1N1CCOCC1,True,3.963456869125366,0.9998995065689087,3.4635071754455566,3.5702877044677734,0.42712175846099854,3.4635071754455566,5.687925815582275,0.0,CCC1CC2(C=O)N3CSC2(C(C)C3=O)C1N1CCOCC1,True,1.0,pass,,324.4460000000002,49.85000000000001,0,5,5,0.9762,3,4,22,6,0.0,0,True,ok,0.8236228823661804,3.1896867752075195,3.2687346935272217,0.31619176268577576,3.1896867752075195,6.676541805267334,0.4679105877876282,3.6014981269836426,0.0,not_used,,3.6014981269836426,True,pass,1
final,27,ga_mutation_crossover,CC1N2CC3N4C(=O)C(=O)N5C(=O)CCC16C31SCC(N1C2=O)C546,True,3.954551935195923,0.969369113445282,3.469867467880249,3.573568344116211,0.4148032069206238,3.469867467880249,6.130280017852783,0.0,CC1N2CC3N4C(=O)C(=O)N5C(=O)CCC16C31SCC(N1C2=O)C546,True,0.96,pass,,346.36800000000005,81.24000000000001,0,5,5,-0.992499999999999,0,8,24,9,0.0,0,True,ok,0.8956556916236877,3.0623204708099365,3.1492550373077393,0.3477386236190796,3.0623204708099365,6.237760066986084,0.09025782346725464,3.510148286819458,0.0,not_used,,3.490148286819458,True,pass,2
final,12,ga_mutation_crossover,CCCCC(C=O)N(C(=O)OC(C)(C)C)c1cccc(C(=O)N(C)C)c1,True,3.9353127479553223,0.9737327098846436,3.44844651222229,3.5588080883026123,0.4414462745189667,3.44844651222229,5.66375207901001,0.0,CCCCC(C=O)N(C(=O)OC(C)(C)C)c1cccc(C(=O)N(C)C)c1,True,0.88,pass,,362.4700000000001,66.92,0,4,4,3.8876000000000035,7,1,26,6,0.23076923076923078,0,True,ok,0.9507642388343811,3.001992702484131,3.0623981952667236,0.24162180721759796,3.001992702484131,6.011157035827637,0.0,3.477374792098999,0.0,not_used,,3.417374792098999,True,pass,3
final,2,ga_mutation_crossover,CCCCC(C=O)N(CCCCCc1ccccc1)C(=O)OC(C)(C)C,True,3.9814932346343994,0.9487746357917786,3.507105827331543,3.604487895965576,0.3895280659198761,3.5,6.186344146728516,0.046004924923181534,CCCCC(C=O)N(CCCCCc1ccccc1)C(=O)OC(C)(C)C,True,0.88,pass,,361.5260000000001,46.61,0,3,3,5.394200000000006,11,1,26,4,0.23076923076923078,0,True,ok,0.9888166189193726,2.6722583770751953,2.767530918121338,0.3810898959636688,2.6722583770751953,6.170769691467285,0.03260022774338722,3.1666667461395264,0.0,not_used,,3.1066667461395263,True,pass,6
