ID,vina_kcal_mol
A_seed2026_final_top6,-7.541
A_seed2030_final_top1,-7.897
A_seed2030_final_top4,-7.865
A_seed2027_final_top4,-7.163
D_seed2027_final_top9,-8.609
A_seed2030_final_top5,-9.553
B_seed2029_final_top7,-6.468
B_seed2028_final_top7,-8.355
D_seed2027_final_top3,-8.779
B_seed2026_final_top10,-8.232
C_seed2026_final_top2,-7.032
D_seed2026_final_top5,-7.055
C_seed2028_final_top5,-7.893
C_seed2026_final_top8,-7.665
D_seed2026_final_top1,-7.659
C_seed2029_final_top8,-7.965
C_seed2028_final_top8,-8.04
C_seed2027_final_top5,-8.834
C_seed2027_final_top1,-7.99
C_seed2029_final_top5,-7.642
D_seed2027_final_top1,-8.625
D_seed2026_final_top6,-9.126
B_seed2026_final_top8,-9.103
C_seed2029_final_top3,-8.36
C_seed2026_final_top7,-7.215
B_seed2026_final_top4,-7.692
D_seed2027_final_top7,-8.105
C_seed2027_final_top2,-7.622
C_seed2030_final_top8,-8.529
D_seed2030_final_top8,-8.529
A_seed2029_final_top6,-7.721
D_seed2026_final_top2,-8.208
C_seed2027_final_top3,-7.673
D_seed2027_final_top8,-7.873
C_seed2030_final_top10,-7.245
D_seed2030_final_top10,-7.245
D_seed2027_final_top4,-8.101
A_seed2029_final_top3,-5.76
B_seed2028_final_top6,-7.064
B_seed2028_final_top4,-7.862
B_seed2027_final_top9,-8.786
B_seed2029_final_top4,-7.194
B_seed2029_final_top9,-8.837
C_seed2029_final_top2,-7.292
B_seed2028_final_top2,-7.948
B_seed2028_final_top10,-10.161
B_seed2029_final_top6,-7.6
A_seed2029_final_top4,-9.652
A_seed2030_final_top2,-7.724
A_seed2026_final_top3,-8.975
A_seed2028_final_top7,-8.852
A_seed2028_final_top5,-8.408
A_seed2028_final_top4,-7.615
A_seed2028_final_top10,-8.394
A_seed2028_final_top6,-7.161
C_seed2028_final_top9,-7.397
B_seed2027_final_top1,-7.337
A_seed2028_final_top1,-9.479
D_seed2029_final_top7,-7.225
B_seed2027_final_top5,-7.517
D_seed2027_final_top6,-8.084
B_seed2026_final_top1,-8.17
A_seed2029_final_top9,-7.031
A_seed2027_final_top3,-6.793
A_seed2026_final_top9,-9.792
A_seed2026_final_top8,-7.43
B_seed2029_final_top2,-6.768
B_seed2026_final_top3,-8.564
B_seed2026_final_top6,-10.224
B_seed2028_final_top8,-7.332
B_seed2027_final_top6,-9.057
B_seed2028_final_top5,-9.679
A_seed2027_final_top5,-7.798
D_seed2028_final_top1,-7.341
D_seed2028_final_top8,-6.758
D_seed2028_gen012_top2,-6.758
D_seed2026_final_top10,-7.567
D_seed2026_gen009_top4,-7.567
D_seed2027_final_top10,-7.345
D_seed2027_gen012_top1,-7.345
C_seed2027_gen004_top4,-6.898
C_seed2029_final_top7,-6.898
C_seed2030_final_top4,-6.898
C_seed2030_gen011_top2,-6.898
C_seed2030_gen012_top2,-6.898
D_seed2030_final_top4,-6.898
D_seed2030_gen011_top2,-6.898
D_seed2030_gen012_top2,-6.898
D_seed2029_final_top10,-6.898
D_seed2029_gen011_top2,-6.898
D_seed2029_final_top5,-6.947
D_seed2029_gen008_top1,-6.947
C_seed2028_final_top3,-7.549
C_seed2028_gen012_top3,-7.549
C_seed2030_final_top6,-7.549
D_seed2029_gen007_top4,-7.549
D_seed2030_final_top6,-7.549
D_seed2026_final_top9,-7.013
D_seed2026_gen012_top2,-7.013
A_seed2027_final_top2,-6.914
A_seed2027_gen010_top1,-6.914
A_seed2027_final_top7,-6.998
A_seed2027_gen012_top1,-6.998
A_seed2027_final_top6,-6.602
A_seed2027_gen008_top4,-6.602
A_seed2027_gen009_top5,-6.602
B_seed2030_final_top9,-7.006
B_seed2030_gen007_top3,-7.006
B_seed2030_gen008_top1,-7.006
B_seed2030_gen009_top1,-7.006
B_seed2030_gen010_top3,-7.006
B_seed2030_gen011_top4,-7.006
B_seed2030_final_top3,-6.965
B_seed2030_gen010_top1,-6.965
A_seed2027_final_top9,-7.166
A_seed2027_gen009_top2,-7.166
D_seed2028_final_top6,-7.818
D_seed2029_gen008_top4,-7.818
D_seed2028_final_top10,-8.366
D_seed2028_gen009_top4,-8.366
D_seed2028_gen011_top3,-8.366
A_seed2029_final_top10,-7.835
A_seed2029_gen012_top4,-7.835
A_seed2029_final_top8,-7.809
A_seed2029_gen011_top5,-7.809
A_seed2029_final_top1,-8.531
A_seed2029_gen003_top4,-8.531
A_seed2029_gen004_top1,-8.531
A_seed2029_gen005_top2,-8.531
A_seed2029_gen006_top3,-8.531
A_seed2029_gen007_top5,-8.531
A_seed2029_gen008_top4,-8.531
A_seed2029_gen009_top2,-8.531
A_seed2029_gen010_top4,-8.531
A_seed2029_gen011_top3,-8.531
A_seed2029_final_top2,-9.16
A_seed2029_gen005_top4,-9.16
A_seed2029_gen009_top4,-9.16
A_seed2029_gen010_top5,-9.16
A_seed2029_gen011_top2,-9.16
A_seed2029_gen012_top2,-9.16
D_seed2028_final_top2,-7.712
D_seed2028_gen010_top5,-7.712
D_seed2029_final_top3,-7.712
C_seed2029_gen006_top2,-7.369
C_seed2029_gen009_top4,-7.369
C_seed2029_gen012_top4,-7.369
C_seed2030_final_top3,-7.369
C_seed2030_gen009_top1,-7.369
C_seed2030_gen010_top1,-7.369
D_seed2026_final_top4,-7.369
D_seed2026_gen005_top5,-7.369
D_seed2026_gen009_top1,-7.369
D_seed2026_gen011_top5,-7.369
D_seed2030_final_top3,-7.369
D_seed2030_gen009_top1,-7.369
D_seed2030_gen010_top1,-7.369
C_seed2027_final_top6,-8.054
C_seed2027_gen012_top2,-8.054
C_seed2027_final_top10,-8.006
C_seed2027_gen009_top2,-8.006
C_seed2027_gen010_top5,-8.006
C_seed2027_gen011_top3,-8.006
C_seed2027_final_top8,-7.647
C_seed2027_gen009_top3,-7.647
C_seed2026_final_top9,-7.414
C_seed2026_gen010_top3,-7.414
C_seed2026_gen011_top4,-7.414
C_seed2026_gen012_top5,-7.414
C_seed2028_final_top7,-7.414
C_seed2028_gen004_top3,-7.414
C_seed2029_gen012_top2,-7.414
C_seed2030_gen005_top4,-7.414
D_seed2028_gen004_top4,-7.414
D_seed2030_gen005_top4,-7.414
C_seed2029_final_top4,-7.82
C_seed2029_gen010_top4,-7.82
C_seed2030_final_top7,-7.82
D_seed2030_final_top7,-7.82
C_seed2026_final_top4,-7.156
C_seed2026_gen009_top4,-7.156
C_seed2026_gen012_top2,-7.156
C_seed2027_gen008_top1,-7.156
C_seed2028_gen003_top2,-7.156
C_seed2029_gen007_top3,-7.156
C_seed2029_gen009_top2,-7.156
C_seed2030_final_top5,-7.156
C_seed2030_gen003_top1,-7.156
C_seed2030_gen004_top1,-7.156
C_seed2030_gen006_top3,-7.156
C_seed2030_gen007_top1,-7.156
C_seed2030_gen008_top3,-7.156
C_seed2030_gen010_top3,-7.156
C_seed2030_gen012_top1,-7.156
D_seed2026_gen009_top3,-7.156
D_seed2028_gen003_top2,-7.156
D_seed2029_gen004_top4,-7.156
D_seed2029_gen005_top2,-7.156
D_seed2030_final_top5,-7.156
D_seed2030_gen003_top1,-7.156
D_seed2030_gen004_top1,-7.156
D_seed2030_gen006_top3,-7.156
D_seed2030_gen007_top1,-7.156
D_seed2030_gen008_top3,-7.156
D_seed2030_gen010_top3,-7.156
D_seed2030_gen012_top1,-7.156
C_seed2028_final_top2,-8.073
C_seed2028_gen012_top1,-8.073
C_seed2030_final_top1,-8.073
C_seed2030_gen009_top3,-8.073
C_seed2030_gen011_top4,-8.073
D_seed2030_final_top1,-8.073
D_seed2030_gen009_top3,-8.073
D_seed2030_gen011_top4,-8.073
C_seed2029_final_top1,-7.448
C_seed2029_gen011_top1,-7.448
C_seed2026_final_top1,-6.926
C_seed2026_gen002_top3,-6.926
C_seed2026_gen003_top3,-6.926
C_seed2026_gen004_top4,-6.926
C_seed2026_gen005_top2,-6.926
C_seed2026_gen008_top2,-6.926
C_seed2026_gen009_top5,-6.926
C_seed2026_gen010_top1,-6.926
C_seed2026_gen011_top3,-6.926
C_seed2027_gen002_top1,-6.926
C_seed2027_gen005_top4,-6.926
C_seed2028_final_top1,-6.926
C_seed2028_gen002_top1,-6.926
C_seed2028_gen003_top3,-6.926
C_seed2028_gen004_top2,-6.926
C_seed2028_gen005_top2,-6.926
C_seed2028_gen006_top3,-6.926
C_seed2028_gen007_top2,-6.926
C_seed2028_gen008_top3,-6.926
C_seed2028_gen009_top4,-6.926
C_seed2029_gen002_top1,-6.926
C_seed2029_gen005_top2,-6.926
C_seed2029_gen006_top5,-6.926
D_seed2026_gen002_top3,-6.926
D_seed2026_gen003_top3,-6.926
D_seed2026_gen004_top4,-6.926
D_seed2026_gen005_top1,-6.926
D_seed2026_gen006_top1,-6.926
D_seed2026_gen007_top2,-6.926
D_seed2027_gen002_top1,-6.926
D_seed2028_gen002_top1,-6.926
D_seed2028_gen003_top3,-6.926
D_seed2028_gen004_top2,-6.926
D_seed2028_gen005_top2,-6.926
D_seed2028_gen007_top4,-6.926
D_seed2029_gen002_top1,-6.926
D_seed2029_gen006_top3,-6.926
C_seed2026_final_top3,-7.223
C_seed2026_gen001_top1,-7.223
C_seed2026_gen002_top2,-7.223
C_seed2026_gen003_top4,-7.223
C_seed2026_gen004_top5,-7.223
C_seed2026_gen005_top1,-7.223
C_seed2026_gen006_top1,-7.223
C_seed2026_gen007_top3,-7.223
C_seed2026_gen009_top2,-7.223
C_seed2026_gen010_top2,-7.223
C_seed2026_gen011_top5,-7.223
C_seed2026_gen012_top4,-7.223
C_seed2027_gen001_top1,-7.223
C_seed2027_gen002_top2,-7.223
C_seed2027_gen003_top1,-7.223
C_seed2027_gen004_top1,-7.223
C_seed2027_gen005_top2,-7.223
C_seed2027_gen007_top3,-7.223
C_seed2027_gen010_top3,-7.223
C_seed2027_gen011_top5,-7.223
C_seed2028_gen001_top1,-7.223
C_seed2028_gen002_top2,-7.223
C_seed2028_gen003_top4,-7.223
C_seed2028_gen009_top5,-7.223
C_seed2029_gen001_top1,-7.223
C_seed2029_gen003_top1,-7.223
C_seed2029_gen004_top1,-7.223
C_seed2029_gen005_top3,-7.223
C_seed2030_gen001_top1,-7.223
C_seed2030_gen002_top1,-7.223
C_seed2030_gen003_top3,-7.223
C_seed2030_gen004_top5,-7.223
C_seed2030_gen005_top5,-7.223
C_seed2030_gen007_top5,-7.223
D_seed2026_gen001_top1,-7.223
D_seed2026_gen002_top2,-7.223
D_seed2026_gen003_top4,-7.223
D_seed2026_gen007_top4,-7.223
D_seed2027_gen001_top1,-7.223
D_seed2027_gen002_top2,-7.223
D_seed2027_gen003_top1,-7.223
D_seed2027_gen004_top2,-7.223
D_seed2027_gen005_top5,-7.223
D_seed2027_gen007_top2,-7.223
D_seed2028_gen001_top1,-7.223
D_seed2028_gen002_top2,-7.223
D_seed2028_gen003_top4,-7.223
D_seed2028_gen006_top4,-7.223
D_seed2029_gen001_top1,-7.223
D_seed2029_gen003_top1,-7.223
D_seed2029_gen004_top2,-7.223
D_seed2029_gen005_top3,-7.223
D_seed2029_gen006_top4,-7.223
D_seed2030_gen001_top1,-7.223
D_seed2030_gen002_top1,-7.223
D_seed2030_gen003_top3,-7.223
D_seed2030_gen004_top5,-7.223
D_seed2030_gen005_top5,-7.223
D_seed2030_gen007_top5,-7.223
