generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success
1,3.901106595993042,0.7807410955429077,3.5261430740356445,3.676203966140747,0.6002435088157654,3.5,5.29939079284668,0.0,False
2,3.901106595993042,0.7807410955429077,3.5261430740356445,3.676203966140747,0.6002435088157654,3.5,5.29939079284668,0.0,False
3,3.9069466590881348,0.7766821384429932,3.537259817123413,3.684997081756592,0.5909491181373596,3.5,4.681953430175781,0.0,False
4,3.9442801475524902,0.8124566078186035,3.5380518436431885,3.690727949142456,0.6107041239738464,3.5,4.76402473449707,0.0,True
5,4.258053302764893,0.9738109111785889,3.7711479663848877,3.854156494140625,0.33203455805778503,3.5,5.442202568054199,0.0,True
6,4.342113494873047,0.9516243934631348,3.8663010597229004,3.951453447341919,0.3406095504760742,3.5,5.392748832702637,0.0,True
7,4.463207721710205,0.9022244811058044,4.0120954513549805,4.0896782875061035,0.31033065915107727,3.5,5.063987731933594,0.0,True
8,4.525264263153076,0.9531531929969788,4.04868745803833,4.123790264129639,0.30041104555130005,3.5,5.168770790100098,0.0,True
9,4.550857067108154,0.9555613994598389,4.073076248168945,4.1481499671936035,0.3002958297729492,3.5,5.179200172424316,0.0,True
10,4.575539588928223,0.9390503168106079,4.106014251708984,4.180197238922119,0.2967311441898346,3.5,5.210056304931641,0.0,True
11,4.605883598327637,0.9294111132621765,4.141178131103516,4.214380741119385,0.2928098440170288,3.5,5.274410724639893,0.0,True
12,4.6363091468811035,0.9343697428703308,4.169124126434326,4.24600887298584,0.30753853917121887,3.5,5.065194129943848,0.0,True
