generation,rank,idx,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success
1,0,4,COc1ccccc1C12CS(=O)(=O)N3COC4C3N1CCC42,True,3.318006753921509,0.8990381956100464,2.868487596511841,2.9553439617156982,0.3474251925945282,2.868487596511841,5.530922889709473,0.0,True
1,1,21,COc1cc(C(O)c2nc3ccccc3n2C(C)C)ccc1N=CC=C(C)C,True,3.204202890396118,0.9613580107688904,2.7235238552093506,2.7974963188171387,0.2958897054195404,2.7235238552093506,6.664563179016113,0.45760074257850647,True
1,2,24,Cc1sc2cc1N(c1ccc(CN3CCNC3=O)cc1)C2=O,True,2.9288201332092285,0.949940025806427,2.453850030899048,2.539991617202759,0.3445660471916199,2.453850030899048,5.3312835693359375,0.0,False
1,3,25,COc1ccc(F)c2c1[nH]c(=O)n2Cc1cc2ccc1n2C,True,2.8737895488739014,0.9977784752845764,2.3749003410339355,2.462620973587036,0.35088208317756653,2.3749003410339355,5.13127326965332,0.0,False
1,4,11,CC1OC(Oc2c(-c3ccc(O)c(OC4OC(CO)C(O)C(O)C4O)c3)oc3c4oc(cc4O)c3c2=O)C(O)C(O)C1O,True,2.8438215255737305,0.9983049631118774,2.3446691036224365,2.3811867237091064,0.14607040584087372,2.3446691036224365,5.053496837615967,0.0,False
1,5,8,CC=C1C=CN(CC(=O)N2C3CCC2C(S(=O)CC)C3)C(=O)N1,True,2.838130235671997,0.9843887090682983,2.345935821533203,2.4319074153900146,0.3438863158226013,2.345935821533203,5.603917121887207,0.0,False
1,6,10,COc1cccc(C23C4=C5CC6C(=O)N7C(=O)C62C5(C)c2ccc(c3c27)NC4=O)c1,True,2.778109550476074,0.5443099737167358,2.7105064392089844,2.797028064727783,0.34608694911003113,2.7105064392089844,6.381894111633301,0.21431179344654083,False
1,7,20,NNc1c(N=O)c2c(C(F)(F)F)cc1n2-c1ccc(CO)o1,True,2.702258825302124,0.004110450390726328,3.3369152545928955,3.4354279041290283,0.39405086636543274,3.3369152545928955,5.278944492340088,0.0,False
2,0,19,COc1ccccc1C12CCC3(C1)OCN(S(C)(=O)=O)C3N2,True,3.4487180709838867,0.899975061416626,2.998730421066284,3.085113048553467,0.34553050994873047,2.998730421066284,5.37007474899292,0.0,True
2,1,0,COc1ccccc1C12CS(=O)(=O)N3COC4C3N1CCC42,True,3.318006753921509,0.8990381956100464,2.868487596511841,2.9553439617156982,0.3474251925945282,2.868487596511841,5.530922889709473,0.0,True
2,2,15,COc1ccccc1C1C2CCN1C1C2OCN1S(C)(=O)=O,True,3.291959762573242,0.9389989376068115,2.822460412979126,2.9080066680908203,0.34218546748161316,2.822460412979126,5.650060653686523,0.0,True
2,3,25,CCCN1CC2c3cc(ccc31)N2c1c(F)ccc(OC)c1Cl,True,3.272841215133667,0.989669144153595,2.7780065536499023,2.863513469696045,0.3420279920101166,2.7780065536499023,5.316400527954102,0.0,True
2,4,20,COc1cc(C(O)c2nc3ccccc3n2C(C)C)ccc1N=CC=C(C)C,True,3.2261056900024414,0.9262574315071106,2.762976884841919,2.8401992321014404,0.3088892698287964,2.762976884841919,6.3205766677856445,0.1615368127822876,True
2,5,1,COc1cc(C(O)c2nc3ccccc3n2C(C)C)ccc1N=CC=C(C)C,True,3.204202890396118,0.9613580107688904,2.7235238552093506,2.7974963188171387,0.2958897054195404,2.7235238552093506,6.664563179016113,0.45760074257850647,True
2,6,10,COc1cc(N2C(=O)CCC2=O)ccc1NC(=O)CC1c2ccc(cc2)C1C,True,3.069136142730713,0.7465048432350159,2.738679885864258,2.8307690620422363,0.368356317281723,2.738679885864258,6.213244438171387,0.06915759295225143,False
