generation,idx,source_type,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,docking_score_reencoded,docking_score_std_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,1,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.567451238632202,0.9999803304672241,3.0674610137939453,3.0674610137939453,0.2219374030828476,3.0674610137939453,4.960438251495361,0.0,7.991767883300781,0.4176235795021057,3.567451238632202,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.39153584837913513,2.446763515472412,4.358776092529297,0.0,7.599270820617676,0.5892085433006287,2.946746587753296,0.0,not_used,,2.946746587753296,False,pred_logsw_reencoded_low,1
final,3,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.5488133430480957,0.9999827146530151,3.0488219261169434,3.0488219261169434,0.17379091680049896,3.0488219261169434,4.993520259857178,0.0,7.76565408706665,0.3795090615749359,3.5488133430480957,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.3915359079837799,2.446763515472412,4.358776092529297,0.0,7.599270820617676,0.5892086029052734,2.946746587753296,0.0,not_used,,2.946746587753296,False,pred_logsw_reencoded_low,2
final,5,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.572120428085327,0.9999798536300659,3.0721304416656494,3.0721304416656494,0.1777324080467224,3.0721304416656494,5.139408111572266,0.0,7.94949197769165,0.40731167793273926,3.572120428085327,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.3915356993675232,2.446763515472412,4.358776092529297,0.0,7.599270820617676,0.5892085433006287,2.946746587753296,0.0,not_used,,2.946746587753296,False,pred_logsw_reencoded_low,3
final,4,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.522876024246216,0.999984622001648,3.022883653640747,3.022883653640747,0.15773090720176697,3.022883653640747,5.021895885467529,0.0,7.907080173492432,0.4113856554031372,3.522876024246216,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.39153575897216797,2.446763515472412,4.358776092529297,0.0,7.599270820617676,0.5892085433006287,2.946746587753296,0.0,not_used,,2.946746587753296,False,pred_logsw_reencoded_low,4
final,9,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.5345988273620605,0.9999830722808838,3.034607172012329,3.034607172012329,0.14850713312625885,3.034607172012329,5.005544662475586,0.0,7.978708744049072,0.42076370120048523,3.5345988273620605,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.3915356993675232,2.446763515472412,4.358776092529297,0.0,7.599270820617676,0.5892088413238525,2.946746587753296,0.0,not_used,,2.946746587753296,False,pred_logsw_reencoded_low,5
final,7,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.5232176780700684,0.9999786615371704,3.023228406906128,3.023228406906128,0.22057406604290009,3.023228406906128,5.194732666015625,0.0,7.868302822113037,0.38541826605796814,3.5232176780700684,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.3915356993675232,2.446763515472412,4.358776092529297,0.0,7.599269866943359,0.5892086625099182,2.946746587753296,0.0,not_used,,2.946746587753296,False,pred_logsw_reencoded_low,6
final,11,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.556393623352051,0.9999816417694092,3.0564026832580566,3.0564026832580566,0.14621055126190186,3.0564026832580566,4.907872200012207,0.0,7.902787208557129,0.3761517107486725,3.556393623352051,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.39153584837913513,2.446763515472412,4.358776092529297,0.0,7.599270820617676,0.5892085433006287,2.946746587753296,0.0,not_used,,2.946746587753296,False,pred_logsw_reencoded_low,7
final,19,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.5761985778808594,0.9999854564666748,3.0762057304382324,3.0762057304382324,0.12398042529821396,3.0762057304382324,5.054837226867676,0.0,7.896576881408691,0.38478025794029236,3.5761985778808594,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.39153584837913513,2.446763515472412,4.358776092529297,0.0,7.599269866943359,0.5892086625099182,2.946746587753296,0.0,not_used,,2.946746587753296,False,pred_logsw_reencoded_low,8
final,18,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.4963221549987793,0.99997878074646,2.996332883834839,2.996332883834839,0.1533311903476715,2.996332883834839,5.063612461090088,0.0,7.834550380706787,0.3938071131706238,3.4963221549987793,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.3915356695652008,2.446763515472412,4.358776092529297,0.0,7.599270820617676,0.5892084240913391,2.946746587753296,0.0,not_used,,2.946746587753296,False,pred_logsw_reencoded_low,9
final,17,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.456209659576416,0.999981164932251,2.95621919631958,2.95621919631958,0.3031342327594757,2.95621919631958,5.0536980628967285,0.0,7.929892063140869,0.40805456042289734,3.456209659576416,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.39153578877449036,2.446763515472412,4.358776092529297,0.0,7.599270820617676,0.5892086625099182,2.946746587753296,0.0,not_used,,2.946746587753296,False,pred_logsw_reencoded_low,10
