method,seed,generation,latent_pairwise_distance,latent_dim_std
C,2026,12,1.0695569192541057,0.08969873934984207
B,2026,1,10.224052935633166,0.949710488319397
B,2026,2,10.028444858734636,0.9415706992149353
B,2026,3,6.83687206431367,0.6692408919334412
B,2026,4,3.736281273933663,0.3674083650112152
B,2026,5,1.9762858605932916,0.18693886697292328
B,2026,6,1.4359302722859657,0.13330873847007751
B,2026,7,1.4381209299482147,0.1317218691110611
B,2026,8,1.3580417134295935,0.12112070620059967
B,2026,9,1.233197189679091,0.11036068201065063
B,2026,10,1.1868772520416084,0.1032407283782959
B,2026,11,1.2685381877011266,0.11235634237527847
B,2026,12,1.337387617018031,0.11927210539579391
C,2030,1,8.950172990492021,0.8302379250526428
C,2030,2,8.452696691847395,0.7969853281974792
C,2030,3,5.841043234727849,0.6136684417724609
C,2030,4,2.318911031744946,0.21763654053211212
C,2030,5,1.7432964025557727,0.16660133004188538
C,2030,6,1.2986545062270658,0.12134705483913422
C,2030,7,1.2955547782538952,0.12032941728830338
C,2030,8,1.3853553372553025,0.12705263495445251
C,2030,9,1.3507588524928038,0.11743985116481781
C,2030,10,1.3212373418026957,0.11285131424665451
C,2030,11,1.2242986557812525,0.10777056217193604
C,2030,12,1.297529604619947,0.11587639898061752
C,2027,1,8.950172990492021,0.8302379250526428
C,2027,2,8.855194331791209,0.8315160870552063
C,2027,3,7.574788325956498,0.717507541179657
C,2027,4,5.731210057557314,0.5689071416854858
C,2027,5,2.0071636786406066,0.29855552315711975
C,2027,6,0.7923425101343242,0.06937155872583389
C,2027,7,0.8146551305535196,0.06996932625770569
C,2027,8,0.9908785226016209,0.08280695229768753
C,2027,9,1.092652896389194,0.09055360406637192
C,2027,10,1.0566586530071564,0.08927373588085175
C,2027,11,1.0393454723659603,0.08993947505950928
C,2027,12,0.9366265063313232,0.08251244574785233
