ID,smiles_x,method,fitness_mode,seed,rank,p_sweet_reencoded,pred_logsw_reencoded,d_ood_reencoded,high_sweet,name,smiles_y,vina_kcal_mol,real_vina_supported,gold_success,binding_support,p_pass_relaxed,dual_pass_relaxed,dual_rank_score
Sweet_only_seed2029_top1,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)N2C(=O)N3C(=O)C12CC3c1ccccc1,Sweet-only,direct_regressor,2029,1,0.999935746192932,2.96104383468628,6.152619361877441,True,Sweet_only_seed2029_top1,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)N2C(=O)N3C(=O)C12CC3c1ccccc1,-7.68,True,True,7.68,True,True,0.6990341966152198
Docking_only_seed2027_top3,Nc1ccc2oc(C3OC(O)C(O)C3O)c(COC(=O)Cc3csc(N)n3)c2c1,Docking-only,docking_surrogate,2027,3,0.9891865849494934,2.7719545364379883,6.7544264793396,False,Docking_only_seed2027_top3,Nc1ccc2oc(C3OC(O)C(O)C3O)c(COC(=O)Cc3csc(N)n3)c2c1,-9.173,True,False,9.173,True,True,1.0308825241804123
Gate_Sweet_seed2027_top1,COC(=O)C(Cc1ccc(O)cc1)NC(=O)CC(C(=O)O)=C(N)C(C)(C)C,Gate+Sweet,gated,2027,1,0.9999141693115234,2.7969884872436523,6.085797309875488,False,Gate_Sweet_seed2027_top1,COC(=O)C(Cc1ccc(O)cc1)NC(=O)CC(C(=O)O)=C(N)C(C)(C)C,-8.161,True,False,8.161,True,True,0.7033256126403806
Gate_Docking_seed2027_top2,COc1cc(N)c(O)c(OC)c1N1CC(C(=O)Oc2cccc(O)c2)CC1=O,Gate+Docking,gated_docking,2027,2,0.9227623343467712,2.8036673069000244,7.107200622558594,True,Gate_Docking_seed2027_top2,COc1cc(N)c(O)c(OC)c1N1CC(C(=O)Oc2cccc(O)c2)CC1=O,-8.59,True,True,8.59,True,True,0.8485816570520399
