method,final_goldlike_count,mean_logsw,mean_ood,unique_smiles
A,39,2.8309255115191143,6.465970929463705,136
B,30,2.77569708665212,6.909006112416585,108
C,106,2.6487206117312114,5.622702522277832,43
D,62,2.584338417053223,6.299489390055339,91
