method,unique_reliable_mean,unique_reliable_sd,unique_ratio_mean,diversity_mean,best_logsw_mean,method_label
A,13.4,3.9115214431215892,0.9066666666666666,0.8613203066026595,3.6974947452545166,Random latent GA
B,6.8,3.271085446759225,0.72,0.7016367044611849,3.5322123050689695,SweetDB-seeded GA
C,7.4,3.847076812334269,0.36,0.4535308449609058,3.1561112880706785,LLM-initialized GA
D,10.6,3.5777087639996634,0.6666666666666666,0.7462549851387761,3.328612756729126,Reflection-guided LLM GA
