model,mae,rmse,r2,spearman,pearson,high_mae_logSw_ge_2p8,high_recall_pred_ge_2p8,false_high_rate_low_as_high,low_over_thr_mean,n_high
v1,0.5592046690481732,0.7666934228973243,0.5874817404660342,0.7237614117911421,0.7701029144093177,1.2696555631373816,0.1142857142857142,0.0391459074733096,0.0101920950177935,35
robust_v2,0.5775285483579817,0.7726726912869428,0.5810223777620166,0.7151432203896719,0.7657569341540327,1.2978296088516674,0.0857142857142857,0.0142348754448398,0.0022365725978647,35
balanced_v3,0.5754959947740387,0.7809033903220569,0.5720487314283662,0.715259574309895,0.7620053631826108,1.3291330402802386,0.0857142857142857,0.0284697508896797,0.0052483590747331,35
highsweet_v4,0.5630880519645894,0.769112708159322,0.5848742473040867,0.7230482441288214,0.7685148661178565,1.174190448851667,0.2,0.0106761565836298,0.0025523644128113,35
