generation,idx,source_type,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank,method,seed,run_dir
final,5,ga_mutation_crossover,COC(CCCCCC(=O)NCC=O)OC=NN=CC(N)=CC(=O)CCO,True,4.199680805206299,0.8597761392593384,3.7697927951812735,3.864858627319336,0.3802636563777923,3.5,5.827963352203369,0.0,COC(CCCCCC(=O)NCC=O)OC=NN=CC(N)=CC(=O)CCO,True,1.0,pass,,384.4330000000002,152.67,3,9,12,0.0493000000000015,16,0,27,10,0.0,0,True,ok,0.4904365837574005,3.0497188568115234,3.133409023284912,0.3347605764865875,3.0497188568115234,6.4864702224731445,0.3043188750743866,3.247286319732666,0.0,not_used,,3.247286319732666,False,p_sweet_reencoded_low,11,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,6,ga_mutation_crossover,CC12CS(=O)(=O)C(N)=NN1C(=O)N1c3cc4cc(Cl)c3NC412,True,4.208420276641846,0.907131016254425,3.754854917526245,3.842971801757813,0.3524677455425262,3.5,5.797093391418457,0.0,CC12CS(=O)(=O)C(N)=NN1C(=O)N1c3cc4cc(Cl)c3NC412,True,1.0,pass,,339.764,108.09999999999998,2,6,8,0.5906999999999996,0,6,22,10,0.2727272727272727,1,True,ok,0.3011281192302704,3.239161252975464,3.346677303314209,0.4300639927387237,3.239161252975464,6.631266117095947,0.42894247174263,3.1906275749206543,0.0,not_used,,3.1906275749206543,False,p_sweet_reencoded_low,12,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,27,ga_mutation_crossover,CCCC12C3=CNC1C1C(=O)OC4(OC2=NN(c2ccccn2)C4=O)N31,True,4.148769378662109,0.905096173286438,3.696221351623535,3.809502124786377,0.453123390674591,3.5,5.74697732925415,0.0,CCCC12C3=CNC1C1C(=O)OC4(OC2=NN(c2ccccn2)C4=O)N31,True,1.0,pass,,353.338,96.36,1,8,9,0.2663999999999998,3,6,26,9,0.2307692307692307,0,True,ok,0.0754021480679512,3.531790256500244,3.662482738494873,0.5227695107460022,3.5,6.055083751678467,0.0,3.189813137054444,0.0,not_used,,3.189813137054444,False,p_sweet_reencoded_low,13,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,8,ga_mutation_crossover,C=CN1C2=C(C(=O)CCC2)C2c3ccc(C(=O)NNC(C)=O)c(c31)N2C(=O)c1ccccc1,True,4.208636283874512,0.9246550798416138,3.7463085651397705,3.8353915214538574,0.3563314080238342,3.5,5.808924198150635,0.0,C=CN1C2=C(C(=O)CCC2)C2c3ccc(C(=O)NNC(C)=O)c(c31)N2C(=O)c1ccccc1,True,1.0,pass,,442.4750000000002,98.82,2,5,7,3.139600000000001,3,5,33,8,0.3636363636363636,0,True,ok,0.9516137838363647,2.68759560585022,2.7446210384368896,0.2281018048524856,2.68759560585022,6.8518500328063965,0.6187956929206848,3.163402557373047,0.0,not_used,,3.163402557373047,True,pass,14,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,28,ga_mutation_crossover,CS(=O)(=O)CC1NC(=O)N2N=C(O)NC12c1cc(Cl)ccc1S,True,4.175706386566162,0.805531919002533,3.772940635681152,3.86713171005249,0.3767642378807068,3.5,5.7953033447265625,0.0,CS(=O)(=O)CC1NC(=O)N2N=C(O)NC12c1cc(Cl)ccc1S,True,1.0,pass,,376.8470000000001,111.1,4,6,10,0.6521000000000003,3,3,23,11,0.2608695652173913,1,True,ok,0.2482745200395584,3.269414186477661,3.3470585346221924,0.3105775117874145,3.269414186477661,7.420687675476074,1.1083855628967283,3.143539428710937,0.0,not_used,,3.143539428710937,False,p_sweet_reencoded_low;d_ood_reencoded_high,15,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,16,ga_mutation_crossover,CS(=O)(=O)C(CNC(N)=O)N1CN=C(N)OC1=O,True,4.199581623077393,0.8569850325584412,3.7710893154144287,3.8617682456970215,0.3627157807350158,3.5,5.733724594116211,0.0,CS(=O)(=O)C(CNC(N)=O)N1CN=C(N)OC1=O,True,1.0,pass,,279.278,157.17999999999998,3,7,10,-2.2501999999999978,4,1,18,11,0.0,0,True,ok,0.9009695053100586,2.604018211364746,2.6880784034729004,0.3362406492233276,2.604018211364746,5.795758247375488,0.0,3.0545029640197754,0.0,not_used,,3.0545029640197754,True,pass,16,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,13,ga_mutation_crossover,CC(C)(C)C1CCc2c(C3(N4C(=O)CC=C4c4cccs4)CCSC3)n1c1ccccc21,True,4.222228050231934,0.9276206493377686,3.75841760635376,3.853273391723633,0.3794227838516235,3.5,5.748659133911133,0.0,CC(C)(C)C1CCc2c(C3(N4C(=O)CC=C4c4cccs4)CCSC3)n1c1ccccc21,True,0.7000000000000001,pass,too_hydrophobic;low_tpsa,462.6840000000002,25.24,0,4,4,6.841800000000007,3,6,32,5,0.4375,0,True,ok,0.5587501525878906,2.9137446880340576,3.016319513320923,0.4102989137172699,2.9137446880340576,6.977116584777832,0.7266107201576233,3.193119764328003,0.0,not_used,,3.043119764328003,True,pass,17,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,7,ga_mutation_crossover,COc1ccc(N2C=C3c4ccc(o4)C2N3C(=O)C2CCN(S(C)(=O)=O)CC2)cc1,True,4.2311692237854,0.8770058155059814,3.792666435241699,3.8864264488220215,0.3750397861003876,3.5,5.81728458404541,0.0,COc1ccc(N2C=C3c4ccc(o4)C2N3C(=O)C2CCN(S(C)(=O)=O)CC2)cc1,True,1.0,pass,,429.4980000000003,83.30000000000001,0,6,6,2.619200000000001,4,5,30,9,0.3666666666666666,0,True,ok,0.2768187224864959,3.012314319610596,3.055471181869507,0.1726274043321609,3.012314319610596,7.239516258239746,0.9524540901184082,2.932178735733032,0.0,not_used,,2.932178735733032,False,p_sweet_reencoded_low,18,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,15,ga_mutation_crossover,CC=C1C=CS(=O)(=O)C2SC(C=O)=c3ccc(=CC)c(=O)n3C12,True,4.247395992279053,0.9205607771873474,3.787115812301636,3.8740525245666495,0.3477470278739929,3.5,5.712160110473633,0.0,CC=C1C=CS(=O)(=O)C2SC(C=O)=c3ccc(=CC)c(=O)n3C12,True,1.0,pass,,349.4330000000001,73.21000000000001,0,6,6,0.4582000000000001,1,3,23,7,0.2608695652173913,0,True,ok,0.9302940964698792,2.372715473175049,2.466050386428833,0.3733392059803009,2.372715473175049,6.54932165145874,0.3584141135215759,2.837862491607666,0.0,not_used,,2.837862491607666,True,pass,19,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,29,ga_mutation_crossover,CC=C(N=c1[nH]c(-c2cccc(Cl)c2)c(C(N)=O)s1)S(C)(=O)=O,True,4.2170915603637695,0.935519516468048,3.749331951141357,3.834388256072998,0.3402248919010162,3.5,5.761289119720459,0.0,CC=C(N=c1[nH]c(-c2cccc(Cl)c2)c(C(N)=O)s1)S(C)(=O)=O,True,1.0,pass,,371.8710000000001,105.38,2,5,7,2.3021000000000003,4,2,23,9,0.4782608695652174,1,True,ok,0.0080212578177452,3.087152004241944,3.1511452198028564,0.255972683429718,3.087152004241944,6.004252433776856,0.0,2.6575796604156494,0.0,not_used,,2.6575796604156494,False,p_sweet_reencoded_low,20,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
