generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve,method,seed
1,30,0.2716042995452881,2.2995762825012207,3.38831114768982,3.38831114768982,2.944441795349121,2.254721641540528,2.254721641540528,2.9608044624328613,2.9608044624328613,2.562019824981689,0.4547688066959381,0.8550133109092712,5.939043045043945,6.286275386810303,12,0.4,0,A,2026
2,60,0.3148798942565918,2.897895336151123,3.5428030490875244,3.5428030490875244,3.3251793384552,2.6351158618927,2.6351158618927,3.0659635066986084,3.0659635066986084,3.144984483718872,0.6811959743499756,0.9536789655685424,6.07738208770752,5.59645414352417,21,0.7,0,A,2026
3,90,0.3532223701477051,3.2548720836639404,3.955899000167847,3.955899000167847,3.537623882293701,2.985578775405884,2.974714994430542,3.605297803878784,3.605297803878784,3.209688901901245,0.6737674474716187,0.7012025713920593,6.010066509246826,5.700430870056152,22,0.7333333333333333,0,A,2026
4,120,0.3948001861572265,3.534332752227783,4.021149635314941,4.021149635314941,3.7415149211883545,3.233536958694458,3.204362154006958,3.619812488555908,3.619812488555908,3.5102596282958984,0.7041686177253723,0.8026742339134216,5.859436511993408,5.738974571228027,20,0.6666666666666666,0,A,2026
5,150,0.4346253871917724,3.759337902069092,4.021149635314941,4.021149635314941,3.963100910186768,3.4538369178771973,3.3888845443725586,3.619812488555908,3.619812488555908,3.5773513317108154,0.6841638684272766,0.8026742339134216,5.735453128814697,5.738974571228027,20,0.6666666666666666,1,A,2026
6,180,0.4746847152709961,3.891948699951172,4.036125183105469,4.036125183105469,4.016903877258301,3.5571844577789307,3.478893518447876,3.637037992477417,3.637037992477417,3.620612621307373,0.7063500881195068,0.7981745004653931,5.73753023147583,5.728959560394287,24,0.8,0,A,2026
7,210,0.5142881870269775,3.990742921829224,4.091710090637207,4.091710090637207,4.049948692321777,3.596298217773437,3.4909768104553223,3.675209283828736,3.675209283828736,3.640341281890869,0.7914748787879944,0.833001971244812,5.714111804962158,5.749360084533691,29,0.9666666666666668,0,A,2026
8,240,0.5556490421295166,4.036550521850586,4.129458904266357,4.129458904266357,4.092110633850098,3.629878520965576,3.5,3.689712047576904,3.689712047576904,3.658175230026245,0.8133452534675598,0.8794934153556824,5.725922584533691,5.82900333404541,30,1.0,0,A,2026
9,270,0.5986320972442627,4.071286678314209,4.151918411254883,4.151918411254883,4.129560947418213,3.664369344711304,3.5,3.702567577362061,3.702567577362061,3.683370590209961,0.8166868090629578,0.8987014889717102,5.7473249435424805,5.845257759094238,28,0.9333333333333332,0,A,2026
10,300,0.6394748687744141,4.1288251876831055,4.201857089996338,4.201857089996338,4.165005683898926,3.69545841217041,3.5,3.744680881500244,3.744680881500244,3.733009815216065,0.8667338490486145,0.9143525958061218,5.779130458831787,5.807092666625977,30,1.0,0,A,2026
