generation,mean_gain,sd_gain
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.002303584416707416,0.002528099602056726
5,0.0074267673492431465,0.016717518394909363
6,-0.0013344756762186272,0.016747966320092966
7,0.022790352503458688,0.024730195201567166
8,0.07735210418701177,0.05259017468724256
9,0.11174928665161135,0.07121068501867839
10,0.11358213106791189,0.07035474871798963
11,0.12047147750854492,0.07534422722578484
12,0.11927740732828776,0.07969924349885417
