method,evaluated,seeds,hard_pass,hard_pass_rate,mean_pred_logsw,max_pred_logsw,mean_p_sweet,mean_ood,method_label
A,50,5,7,0.14,3.079910578727722,3.807672023773194,0.4236313097109087,6.601958732604981,Random-Seeded Latent GA
B,50,5,11,0.22,3.1793565464019777,4.06907320022583,0.5299906686379109,6.697184467315674,SweetDB-Seeded Latent GA
C,49,5,36,0.7346938775510204,2.746179938316345,3.260448217391968,0.8857347754077339,5.904610478148168,LLM-Initialized Latent GA
D,50,5,26,0.52,2.948399157524109,3.442322254180908,0.6236318646371365,6.262765064239502,Iterative LLM-Guided Latent GA
