generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success
1,3.414327621459961,0.9999387264251709,2.914358377456665,3.0107970237731934,0.3857542872428894,2.914358377456665,5.214848518371582,0.0,True
2,3.414327621459961,0.9999387264251709,2.914358377456665,3.0107970237731934,0.3857542872428894,2.914358377456665,5.214848518371582,0.0,True
3,3.414327621459961,0.9999387264251709,2.914358377456665,3.0107970237731934,0.3857542872428894,2.914358377456665,5.214848518371582,0.0,True
4,3.5093228816986084,0.9999723434448242,3.0093367099761963,3.11523175239563,0.4235802888870239,3.0093367099761963,5.1063055992126465,0.0,True
5,3.6731033325195312,0.9999793767929077,3.1731135845184326,3.272449493408203,0.3973439633846283,3.1731135845184326,5.2594523429870605,0.0,True
6,3.748753547668457,0.9999759197235107,3.248765468597412,3.343514919281006,0.3789980411529541,3.248765468597412,5.400935173034668,0.0,True
7,3.748753547668457,0.9999759197235107,3.248765468597412,3.343514919281006,0.3789980411529541,3.248765468597412,5.400935173034668,0.0,True
8,3.818491220474243,0.9999793767929077,3.3185014724731445,3.41007661819458,0.3663003742694855,3.3185014724731445,5.35790491104126,0.0,True
9,3.8267340660095215,0.9999788999557495,3.326744556427002,3.421215534210205,0.37788406014442444,3.326744556427002,5.369643211364746,0.0,True
10,3.868013858795166,0.9999803304672241,3.368023633956909,3.4608237743377686,0.3712005019187927,3.368023633956909,5.3914794921875,0.0,True
11,3.9195504188537598,0.9999730587005615,3.4195640087127686,3.516942262649536,0.38951319456100464,3.4195640087127686,5.364253520965576,0.0,True
12,3.9325027465820312,0.9999682903289795,3.432518720626831,3.528730869293213,0.3848482668399811,3.432518720626831,5.38614559173584,0.0,True
