generation,idx,source_type,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,2,ga_mutation_crossover,CCCCC1C(=O)N2C(C)c3ccc(o3)C2N1C(=O)CCC(=O)O,True,3.845015287399292,0.9979089498519897,3.3460607528686523,3.444287061691284,0.39290475845336914,3.3460607528686523,5.76826286315918,0.0,CCCCC1C(=O)N2C(C)c3ccc(o3)C2N1C(=O)CCC(=O)O,True,1.0,pass,,334.3720000000001,91.06000000000002,1,4,5,2.4472000000000005,6,3,24,7,0.20833333333333334,0,True,ok,0.9673831462860107,3.163259744644165,3.222560167312622,0.2372014969587326,3.163259744644165,6.303479194641113,0.1468212753534317,3.646951198577881,0.0,not_used,,3.646951198577881,True,pass,1
final,11,ga_mutation_crossover,NC(=O)CCC(=O)Oc1cccc(C(=O)NC2CCn3c4nc5ccc(cc53)C42)c1Cl,True,3.802788257598877,0.9989307522773743,3.3033227920532227,3.4072704315185547,0.4157907962799072,3.3033227920532227,5.691239833831787,0.0,NC(=O)CCC(=O)Oc1cccc(C(=O)NC2CCn3c4nc5ccc(cc53)C42)c1Cl,True,1.0,pass,,438.8710000000002,116.31000000000002,2,6,8,2.5081999999999995,6,5,31,9,0.4838709677419355,1,True,ok,0.9795589447021484,2.9423067569732666,2.9869136810302734,0.17842771112918854,2.9423067569732666,6.369262218475342,0.20343971252441406,3.432086229324341,0.0,not_used,,3.432086229324341,True,pass,2
