generation,idx,source_type,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,docking_score_reencoded,docking_score_std_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,21,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)(NC(=O)CCC(=O)O)N1CC(C=O)CC1=O,True,3.0359084606170654,0.9999775886535645,3.0359084606170654,3.0359084606170654,0.2445809543132782,3.0359084606170654,5.070907115936279,0.0,7.8577094078063965,0.3922848403453827,3.5358972549438477,COC(=O)C(Cc1ccccc1)(NC(=O)CCC(=O)O)N1CC(C=O)CC1=O,True,1.0,pass,,390.39200000000017,130.07999999999998,2,6,8,0.1268000000000007,9,2,28,9,0.21428571428571427,0,True,ok,0.9999688863754272,2.924130916595459,2.924130916595459,0.2517394423484802,2.924130916595459,5.162143707275391,0.0,8.710312843322754,0.7647724747657776,2.924130916595459,0.0,not_used,,2.924130916595459,True,pass,1
final,15,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,True,3.0244662761688232,0.9999767541885376,3.0244662761688232,3.0244662761688232,0.24563360214233398,3.0244662761688232,5.076711177825928,0.0,7.8641228675842285,0.40864792466163635,3.5244545936584473,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,True,1.0,pass,,383.4440000000002,83.91,1,4,5,2.7068000000000003,10,2,28,6,0.42857142857142855,0,True,ok,0.9998739957809448,2.837982177734375,2.837982177734375,0.10974317044019699,2.837982177734375,5.976511478424072,0.0,8.045881271362305,0.5293301343917847,2.837982177734375,0.0,not_used,,2.837982177734375,True,pass,2
final,18,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,True,2.9872989654541016,0.9999786615371704,2.9872989654541016,2.9872989654541016,0.21090883016586304,2.9872989654541016,5.028634071350098,0.0,8.030484199523926,0.501396119594574,3.487288236618042,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,True,1.0,pass,,383.4440000000002,83.91,1,4,5,2.7068000000000003,10,2,28,6,0.42857142857142855,0,True,ok,0.9998739957809448,2.837981939315796,2.837981939315796,0.10974325239658356,2.837981939315796,5.9765119552612305,0.0,8.045881271362305,0.5293303728103638,2.837981939315796,0.0,not_used,,2.837981939315796,True,pass,3
final,14,ga_mutation_crossover,COC(=O)C12NC(=O)C3C(C(=O)O)N(C(=O)N31)C2c1ccccc1,True,3.0600216388702393,0.9999744892120361,3.0600216388702393,3.0600216388702393,0.279082328081131,3.0600216388702393,4.961142539978027,0.0,7.913073539733887,0.489298552274704,3.560009002685547,COC(=O)C12NC(=O)C3C(C(=O)O)N(C(=O)N31)C2c1ccccc1,True,1.0,pass,,331.28400000000005,116.24999999999999,2,5,7,-0.7001999999999979,3,4,24,9,0.25,0,True,ok,0.9998292922973633,2.7999510765075684,2.7999510765075684,0.29135555028915405,2.7999510765075684,5.642550468444824,0.0,7.866826057434082,0.2937467694282532,2.7999510765075684,0.0,not_used,,2.7999510765075684,False,pred_logsw_reencoded_low,4
final,29,ga_mutation_crossover,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)CC(=O)O,True,3.054680824279785,0.9999754428863525,3.054680824279785,3.054680824279785,0.24332991242408752,3.054680824279785,5.011897087097168,0.0,7.928442478179932,0.42290976643562317,3.554668426513672,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)CC(=O)O,True,1.0,pass,,407.3790000000002,176.32999999999998,4,7,11,-1.2978999999999963,8,2,29,11,0.20689655172413793,0,True,ok,0.9999810457229614,2.7486014366149902,2.7486014366149902,0.23280419409275055,2.7486014366149902,4.976147174835205,0.0,8.42848014831543,0.4086076617240906,2.7486014366149902,0.0,not_used,,2.7486014366149902,False,pred_logsw_reencoded_low,5
final,10,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,True,3.095384120941162,0.9999821186065674,3.095384120941162,3.095384120941162,0.2474311888217926,3.095384120941162,4.9445977210998535,0.0,7.883668422698975,0.4244059920310974,3.5953750610351562,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,True,1.0,pass,,383.4440000000002,83.91,1,4,5,2.7068000000000003,10,2,28,6,0.42857142857142855,0,True,ok,0.999970555305481,2.732140064239502,2.732140064239502,0.08691685646772385,2.732140064239502,5.0461225509643555,0.0,7.901246547698975,0.3719399571418762,2.732140064239502,0.0,not_used,,2.732140064239502,False,pred_logsw_reencoded_low,6
final,2,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,True,3.036376714706421,0.9999815225601196,3.036376714706421,3.036376714706421,0.24062831699848175,3.036376714706421,4.943542957305908,0.0,7.842175483703613,0.40890657901763916,3.536367416381836,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,True,1.0,pass,,383.4440000000002,83.91,1,4,5,2.7068000000000003,10,2,28,6,0.42857142857142855,0,True,ok,0.999970555305481,2.732139825820923,2.732139825820923,0.08691688627004623,2.732139825820923,5.0461225509643555,0.0,7.901246547698975,0.3719399571418762,2.732139825820923,0.0,not_used,,2.732139825820923,False,pred_logsw_reencoded_low,7
final,6,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)(NC(=O)CCC(=O)O)N1CC(C=O)CC1=O,True,2.9856936931610107,0.9999662637710571,2.9856936931610107,2.9856936931610107,0.2668798863887787,2.9856936931610107,5.256818771362305,0.0,7.831113338470459,0.3226255774497986,3.4856767654418945,COC(=O)C(Cc1ccccc1)(NC(=O)CCC(=O)O)N1CC(C=O)CC1=O,True,1.0,pass,,390.39200000000017,130.07999999999998,2,6,8,0.1268000000000007,9,2,28,9,0.21428571428571427,0,True,ok,0.9999649524688721,2.7007107734680176,2.7007107734680176,0.29209789633750916,2.7007107734680176,4.9450602531433105,0.0,8.662978172302246,0.4934707283973694,2.7007107734680176,0.0,not_used,,2.7007107734680176,False,pred_logsw_reencoded_low,8
final,20,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)N(CCC(C)(C)C)C(=O)CCC(=O)O,True,3.058363437652588,0.9999779462814331,3.058363437652588,3.058363437652588,0.21311838924884796,3.058363437652588,4.987622261047363,0.0,7.811032772064209,0.4143805205821991,3.558352470397949,COC(=O)C(Cc1ccccc1)N(CCC(C)(C)C)C(=O)CCC(=O)O,True,1.0,pass,,363.4540000000002,83.91,1,4,5,2.9003000000000005,9,1,26,6,0.23076923076923078,0,True,ok,0.9999239444732666,2.5162367820739746,2.5162367820739746,0.12028855830430984,2.5162367820739746,5.4264726638793945,0.0,8.08584976196289,0.3036763072013855,2.5162367820739746,0.0,not_used,,2.5162367820739746,False,pred_logsw_reencoded_low,9
final,24,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,3.0090816020965576,0.9999779462814331,3.0090816020965576,3.0090816020965576,0.23128803074359894,3.0090816020965576,5.029848575592041,0.0,7.9159088134765625,0.4521770775318146,3.509070634841919,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,True,1.0,pass,,279.292,92.7,2,4,6,0.7516999999999998,7,1,20,6,0.3,0,True,ok,0.9999662637710571,2.446763515472412,2.446763515472412,0.39153575897216797,2.446763515472412,4.358775615692139,0.0,7.599270820617676,0.5892085433006287,2.446763515472412,0.0,not_used,,2.446763515472412,False,pred_logsw_reencoded_low,10
