generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success
1,3.414327621459961,0.9999387264251709,2.914358377456665,3.0107970237731934,0.3857542872428894,2.914358377456665,5.214848518371582,0.0,True
2,3.4961187839508057,0.9999173879623413,2.9961600303649902,3.085880756378174,0.3588832914829254,2.9961600303649902,4.102024555206299,0.0,True
3,3.5607829093933105,0.9999796152114868,3.060793161392212,3.1450157165527344,0.336890310049057,3.060793161392212,4.798110008239746,0.0,True
4,3.6172821521759033,0.9999798536300659,3.1172921657562256,3.193486452102661,0.3047773540019989,3.1172921657562256,4.881139278411865,0.0,True
5,3.6431806087493896,0.9999779462814331,3.1431915760040283,3.231687545776367,0.3539838194847107,3.1431915760040283,4.822205543518066,0.0,True
6,3.6708858013153076,0.9999771118164062,3.1708972454071045,3.265019178390503,0.37648800015449524,3.1708972454071045,4.847071170806885,0.0,True
7,3.6996846199035645,0.9999771118164062,3.1996960639953613,3.287369966506958,0.3506956994533539,3.1996960639953613,5.046769142150879,0.0,True
8,3.714064121246338,0.9999750852584839,3.214076519012451,3.3080055713653564,0.3757162094116211,3.214076519012451,5.0630202293396,0.0,True
9,3.7569398880004883,0.9999768733978271,3.2569515705108643,3.3681983947753906,0.44498753547668457,3.2569515705108643,4.692522048950195,0.0,True
10,3.8259825706481934,0.9999773502349854,3.3259940147399902,3.4185218811035156,0.37011101841926575,3.3259940147399902,5.031676292419434,0.0,True
11,3.865527629852295,0.9999769926071167,3.365539073944092,3.4632694721221924,0.39092156291007996,3.365539073944092,4.997541427612305,0.0,True
12,3.879211902618408,0.9999796152114868,3.3792221546173096,3.476364850997925,0.3885711133480072,3.3792221546173096,5.0672993659973145,0.0,True
