generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve
1,30,0.23992133140563965,2.1503994464874268,3.414327621459961,3.414327621459961,2.857330560684204,1.851294994354248,1.851294994354248,2.914358377456665,2.914358377456665,2.3724873065948486,0.7952008843421936,0.9999387264251709,5.37732458114624,5.214848518371582,3,0.1,0
2,60,10.624557733535767,2.689877510070801,3.476984977722168,3.476984977722168,3.21061372756958,2.2932982444763184,2.2932982444763184,2.9770212173461914,2.9770212173461914,2.71073579788208,0.8938184976577759,0.9999276399612427,5.845809459686279,5.207600116729736,8,0.26666666666666666,0
3,90,21.90235161781311,3.091127872467041,3.645637273788452,3.645637273788452,3.415520191192627,2.6185803413391113,2.6185803413391113,3.14565372467041,3.14565372467041,2.915562152862549,0.9711371064186096,0.9999672174453735,5.756829738616943,4.830026149749756,18,0.6,0
4,120,31.317081689834595,3.379030466079712,3.6500039100646973,3.6500039100646973,3.5697638988494873,2.879093885421753,2.879093885421753,3.150019407272339,3.150019407272339,3.069789409637451,0.9998723864555359,0.9999690055847168,5.542741298675537,4.825838088989258,27,0.9,0
5,150,41.684290409088135,3.5154738426208496,3.719038724899292,3.719038724899292,3.6501681804656982,3.0155112743377686,3.0155112743377686,3.219066619873047,3.219066619873047,3.1501898765563965,0.9999243021011353,0.9999440908432007,5.203729629516602,4.932950019836426,30,1.0,0
6,180,50.17921996116638,3.611943483352661,3.756059408187866,3.756059408187866,3.7083206176757812,3.1119654178619385,3.1119654178619385,3.256078004837036,3.256078004837036,3.208343505859375,0.9999561905860901,0.9999628067016602,5.045250415802002,4.88580322265625,30,1.0,0
7,210,59.37289881706238,3.699768304824829,3.8583528995513916,3.8583528995513916,3.762953519821167,3.1997978687286377,3.1997978687286377,3.3583767414093018,3.3583767414093018,3.2629787921905518,0.9999420046806335,0.9999524354934692,4.990960597991943,4.760939121246338,30,1.0,0
8,240,68.53679251670837,3.7486202716827393,3.886782646179199,3.886782646179199,3.822603702545166,3.248647928237915,3.248647928237915,3.3868014812469482,3.3868014812469482,3.322636365890503,0.9999451041221619,0.9999622106552124,4.955422401428223,4.771521091461182,30,1.0,0
9,270,78.39145851135254,3.797996759414673,3.915174961090088,3.915174961090088,3.8824591636657715,3.2980308532714844,3.2980308532714844,3.415196180343628,3.415196180343628,3.3824965953826904,0.9999321103096008,0.999957799911499,4.945943832397461,4.900818347930908,30,1.0,0
10,300,86.99130773544312,3.8661887645721436,3.97061824798584,3.97061824798584,3.9187989234924316,3.3662283420562744,3.3662283420562744,3.4706594944000244,3.4706594944000244,3.418839931488037,0.999921977519989,0.9999172687530518,4.96303653717041,5.015641212463379,30,1.0,0
11,330,96.57077264785767,3.9051828384399414,3.97061824798584,3.97061824798584,3.9393818378448486,3.405230760574341,3.405230760574341,3.4706594944000244,3.4706594944000244,3.4394195079803467,0.9999045729637146,0.9999172687530518,4.957464694976807,5.015641212463379,30,1.0,1
12,360,105.93502235412598,3.929288625717163,3.9987361431121826,3.9987361431121826,3.9657058715820312,3.429337739944458,3.429337739944458,3.4987599849700928,3.4987599849700928,3.465752124786377,0.9999023675918579,0.9999521970748901,5.010705947875977,4.893087387084961,30,1.0,0
