generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,success
1,9.798250198364258,0.9980766773223877,1.8402456045150757,1.8402456045150757,0.24735315144062042,1.8402456045150757,5.902712821960449,0.0,9.299211502075195,0.254045307636261,2.3392839431762695,False
2,9.922981262207031,0.99796462059021,1.8274608850479126,1.8274608850479126,0.2137964367866516,1.8274608850479126,5.880233287811279,0.0,9.423998832702637,0.2487754374742508,2.3264431953430176,False
3,9.971990585327148,0.9980548620223999,1.9685109853744507,1.9685109853744507,0.23529398441314697,1.9685109853744507,5.950421333312988,0.0,9.472963333129883,0.22668856382369995,2.467538356781006,False
4,10.678658485412598,0.9999560117721558,2.4340226650238037,2.4340226650238037,0.21836259961128235,2.4340226650238037,5.764151096343994,0.0,10.178680419921875,0.5238989591598511,2.9340007305145264,False
5,10.728878021240234,0.9999743700027466,2.4275107383728027,2.4275107383728027,0.2515527904033661,2.4275107383728027,5.705595016479492,0.0,10.228890419006348,0.548545241355896,2.9274978637695312,False
6,10.914900779724121,0.9999657869338989,2.424706220626831,2.424706220626831,0.201845183968544,2.424706220626831,5.889715671539307,0.0,10.414917945861816,0.5389721989631653,2.9246890544891357,False
7,11.055581092834473,0.9999626874923706,2.4590353965759277,2.4590353965759277,0.20246778428554535,2.4590353965759277,5.84519624710083,0.0,10.5556001663208,0.518932580947876,2.959016799926758,False
8,11.055581092834473,0.9999626874923706,2.4590353965759277,2.4590353965759277,0.20246778428554535,2.4590353965759277,5.84519624710083,0.0,10.5556001663208,0.518932580947876,2.959016799926758,False
9,11.099955558776855,0.9999617338180542,2.5464510917663574,2.5464510917663574,0.1710340678691864,2.5464510917663574,5.89652156829834,0.0,10.599974632263184,0.5574226379394531,3.0464320182800293,False
10,11.137526512145996,0.9999709129333496,2.3013062477111816,2.3013062477111816,0.1976446658372879,2.3013062477111816,5.811695575714111,0.0,10.637540817260742,0.47067007422447205,2.8012917041778564,False
11,11.154691696166992,0.999941349029541,2.60490083694458,2.60490083694458,0.1714615523815155,2.60490083694458,5.992481708526611,0.0,10.6547212600708,0.5453172922134399,3.1048715114593506,False
12,11.265365600585938,0.9999580383300781,2.2992873191833496,2.2992873191833496,0.190791517496109,2.2992873191833496,5.807352066040039,0.0,10.765386581420898,0.48328664898872375,2.7992663383483887,False
